GEOID,State,ssm_hh,total_hh,county_to_urb,urb_ssm_rate,adj_ssm_hh,adj_hh,adj_urb_ssm_rate,per_ssm,msm_index,msm_urb,male_pop,msm_pop
01001,AL,45.92211609110948,58761,3,0.0012836746938390434,121.35212477578551,58836.43000868468,0.0025640579713467324,0.002062533786599103,0.8044021662723128,0.03430668308799435,21711,599.14
01003,AL,191.95444526083762,233420,3,0.0012836746938390434,491.5897922967471,233719.63534703592,0.0025640579713467324,0.0021033311624280757,0.8203134195609989,0.03430668308799435,88794,2498.86
01005,AL,17.33730522456462,24877,4,8.506617793153081e-4,38.49921830859154,24898.161913084026,0.0016998775377797136,0.0015462674892623351,0.9096346383175252,0.02678621884916539,10437,254.3
01007,AL,19.81994459833795,22251,2,0.001316614162945478,49.11592633803778,22280.2959817397,0.002629765938810684,0.002204455738751936,0.8382707016689496,0.03776920561073565,9437,298.78
01009,AL,11.011080332409973,59077,2,0.001316614162945478,88.79269523673999,59154.78161490433,0.002629765938810684,0.001501023126326076,0.5707820244279672,0.03776920561073565,22682,488.98
01011,AL,6.668194317140238,10328,4,8.506617793153081e-4,15.45382917390874,10336.78563485677,0.0016998775377797136,0.0014950323746481442,0.8794941643860258,0.02678621884916539,4503,106.08
01013,AL,22.227314390467463,18981,4,8.506617793153081e-4,38.373725623651325,18997.146411233185,0.0016998775377797136,0.0020199731471754407,1.1883050997978468,0.02678621884916539,6695,213.1
01015,AL,68.42395297575312,116162,3,0.0012836746938390434,217.53817276148408,116311.11421978573,0.0025640579713467324,0.0018703128606473154,0.7294347013788312,0.03430668308799435,43660,1092.57
01017,AL,6.668194317140238,34612,4,8.506617793153081e-4,36.11129982280168,34641.44310550566,0.0016998775377797136,0.0010424305856086699,0.6132386377493024,0.02678621884916539,12958,212.85
01019,AL,17.33730522456462,25069,4,8.506617793153081e-4,38.66254537022008,25090.325240145656,0.0016998775377797136,0.0015409344040051844,0.9064973033397853,0.02678621884916539,9956,241.75
01021,AL,14.094182825484765,45140,2,0.001316614162945478,73.52614614084365,45199.43196331536,0.002629765938810684,0.0016267050922347595,0.6185740974995058,0.03776920561073565,16810,392.73
01023,AL,0,12669,4,8.506617793153081e-4,10.777034082145638,12679.777034082146,0.0016998775377797136,8.499387688898552e-4,0.49999999999999906,0.02678621884916539,4717,63.18
01025,AL,25.339138405132907,23058,4,8.506617793153081e-4,44.95369771258528,23077.61455930745,0.0016998775377797136,0.0019479351991540637,1.145926783466031,0.02678621884916539,8417,258.36
01027,AL,18.226397800183317,14209,4,8.506617793153081e-4,30.31345102247453,14221.08705322229,0.0016998775377797136,0.0021315846607946856,1.2539636611581115,0.02678621884916539,5514,185.21
01029,AL,12.44729605866178,15144,4,8.506617793153081e-4,25.329718044612804,15156.88242198595,0.0016998775377797136,0.0016711693961464367,0.9831116412828339,0.02678621884916539,5812,153.05
01031,AL,36.89734188817599,53559,4,8.506617793153081e-4,82.45793612652457,53604.56059423835,0.0016998775377797136,0.0015382634464759983,0.90492603866346355,0.02678621884916539,20117,487.63
01033,AL,24.797942689199118,57270,3,0.0012836746938390434,98.31399240536113,57343.51604971616,0.0025640579713467324,0.0017144744371817738,0.6686566592257164,0.03430668308799435,21578,494.99
01035,AL,12.891842346471128,11576,4,8.506617793153081e-4,22.739103103825133,11585.847260757355,0.0016998775377797136,0.001962662081766362,1.1545902796797252,0.02678621884916539,4399,136.05
01037,AL,32.896425297891845,10329,4,8.506617793153081e-4,41.68291081643966,10337.786485518547,0.0016998775377797136,0.0040320924479171835,2.3719899571022514,0.02678621884916539,4351,276.45
01039,AL,43.56553620531623,37542,4,8.506617793153081e-4,75.50108072437152,37573.93554451905,0.0016998775377797136,0.002009400389664131,1.182085382626268,0.02678621884916539,13933,441.17
01041,AL,0.44454628780934924,13205,4,8.506617793153081e-4,11.677535083667992,13216.232988795859,0.0016998775377797136,8.835751528871876e-4,0.5197875336603746,0.02678621884916539,4914,68.42
01043,AL,44.89917506874427,88284,4,8.506617793153081e-4,119.99899959381693,88359.09982452507,0.0016998775377797136,0.0013580830931067256,0.7989299599079231,0.02678621884916539,33802,723.37
01045,AL,44.01008249312557,49455,4,8.506617793153081e-4,86.07956078916413,49497.06947829604,0.0016998775377797136,0.0017390839840914045,1.023064276949562,0.02678621884916539,18547,508.26
01047,AL,8.446379468377636,38326,4,8.506617793153081e-4,41.048842822416134,38358.60246335404,0.0016998775377797136,0.0010701339513511272,0.6295359092448961,0.02678621884916539,13183,222.3
01049,AL,49.78918423464712,71680,4,8.506617793153081e-4,110.7646205759684,71740.97543634132,0.0016998775377797136,0.0015439519730848146,0.9082724718519662,0.02678621884916539,27041,657.89
01051,AL,90.00734753857458,87694,3,0.0012836746938390434,202.57791614009565,87806.57056860153,0.0025640579713467324,0.0023070929069234692,0.899781881964121,0.03430668308799435,32892,1015.33
01053,AL,19.560036663611367,36755,4,8.506617793153081e-4,50.82611036234552,36786.26607369873,0.0016998775377797136,0.0013816599450599018,0.8127996954795638,0.02678621884916539,14290,311.12
01055,AL,61.076414401175604,103348,3,0.0012836746938390434,193.74162666005307,103480.66521225887,0.0025640579713467324,0.001872249528572816,0.7301900150055677,0.03430668308799435,38747,970.63
01057,AL,0,16297,4,8.506617793153081e-4,13.863235017501577,16310.863235017501,0.0016998775377797136,8.499387688898553e-4,0.4999999999999991,0.02678621884916539,6279,84.1
01059,AL,11.113657195233731,32011,4,8.506617793153081e-4,38.34419141289606,32038.230534217662,0.0016998775377797136,0.0011968261284574836,0.7040660882081612,0.02678621884916539,11983,225.99
01061,AL,9.184423218221895,26647,3,0.0012836746938390434,43.39050278495088,26681.206079566728,0.0025640579713467324,0.0016262571735158793,0.6342513280468899,0.03430668308799435,10072,219.16
01063,AL,0,7706,3,0.0012836746938390434,9.891997190723668,7715.8919971907235,0.0025640579713467324,0.0012820289856733662,0.5,0.03430668308799435,2859,49.04
01065,AL,20.664952240999266,14742,3,0.0012836746938390434,39.58888457757445,14760.923932336575,0.0025640579713467324,0.0026820058662349426,1.046000479008772,0.03430668308799435,5229,187.64
01067,AL,10.562086700955179,17282,3,0.0012836746938390434,32.746552759881524,17304.184466058927,0.0025640579713467324,0.001892406592411901,0.7380514066216464,0.03430668308799435,6595,166.99
01069,AL,75.77149155033064,107040,3,0.0012836746938390434,213.17603077886184,107177.40453922853,0.0025640579713467324,0.001989001615548884,0.7757241208178265,0.03430668308799435,38826,1033.26
