State,state_msm_pop,state_male_pop,rate_msm
AK,7776.4,294462,0.026408841
AL,55406.69,1878392,0.029496873
AR,33448.74,1134120,0.029493122
AZ,141120.02,2773826,0.050875585
CA,857164.2,15213846,0.056341059
CO,102803.11,2291276,0.044867188
CT,29577.25,1389938,0.021279546
DC,41513.7,257886,0.160976943
DE,21399.05,377945,0.056619482
FL,457960.97,8479837,0.054005869
GA,163230.72,3959735,0.041222637
HI,23519.99,574413,0.040946131
IA,36130.52,1224164,0.029514444
ID,18971.08,700251,0.027091829
IL,220747.62,4870285,0.045325401
IN,92928.9,2558293,0.036324573
KS,31248.43,1114726,0.028032386
KY,65252.16,1714155,0.038066663
LA,56197.15,1721784,0.032638908
MA,132637.92,2718440,0.048791925
MD,92977.41,2307872,0.040287074
ME,23953.11,545204,0.043934215
MI,141938.29,3890492,0.036483378
MN,92628.64,2189306,0.04230959
MO,89986.94,2333741,0.038559095
MS,27919.22,1085881,0.025711123
MT,11439.62,434782,0.026311163
NC,147374.18,3964388,0.03717451
ND,9651.55,305104,0.03163364
NE,21436.75,737884,0.029051653
NH,21195.02,558485,0.037950921
NJ,140988.34,3524824,0.039998689
NM,30980.9,810902,0.03820548
NV,65867.19,1215598,0.05418501
NY,431193.46,7666589,0.056243195
OH,181574.01,4487124,0.040465565
OK,58924.94,1494058,0.039439526
OR,81599.9,1673259,0.048767047
PA,199913.13,5044837,0.039627272
RI,22805.28,430251,0.053004595
SC,62682.63,1945506,0.032219191
SD,7953.94,341151,0.023315013
TN,98374.66,2620518,0.037540158
TX,474764.55,10846487,0.043771274
UT,47248.46,1183697,0.039916009
VA,132791.33,3306075,0.040165855
VT,11381.28,259596,0.043842278
WA,154534.89,3025293,0.051080966
WI,77826.29,2297714,0.033871182
WV,21684.2,709831,0.030548398
WY,6153.38,227928,0.026997034
