category,demographic,type,value
Age,18-24,count,0.1914487766047293
Age,25-34,count,0.2879062153914797
Age,35-44,count,0.18689714729211326
Age,45-54,count,0.15160689270286096
Age,55+,count,0.18214096800881668
Education,College,count,0.3001376160917274
Education,Graduate,count,0.3227950181116337
Education,HS/GED,count,0.2525902103681391
Education,Less HS,count,0.12447715542849974
Income,20k_40k,count,0.23294945539087547
Income,"40K, 90K",count,0.26422494838867033
Income,"90K, infty",count,0.21024622392309716
Income,less_20k,count,0.29257937229735703
