countyid,GEOID,NAME.x
1,01001,"Autauga County, Alabama"
2,01003,"Baldwin County, Alabama"
3,01005,"Barbour County, Alabama"
4,01007,"Bibb County, Alabama"
5,01009,"Blount County, Alabama"
6,01011,"Bullock County, Alabama"
7,01013,"Butler County, Alabama"
8,01015,"Calhoun County, Alabama"
9,01017,"Chambers County, Alabama"
10,01019,"Cherokee County, Alabama"
11,01021,"Chilton County, Alabama"
12,01023,"Choctaw County, Alabama"
13,01025,"Clarke County, Alabama"
14,01027,"Clay County, Alabama"
15,01029,"Cleburne County, Alabama"
16,01031,"Coffee County, Alabama"
17,01033,"Colbert County, Alabama"
18,01035,"Conecuh County, Alabama"
19,01037,"Coosa County, Alabama"
20,01039,"Covington County, Alabama"
21,01041,"Crenshaw County, Alabama"
22,01043,"Cullman County, Alabama"
23,01045,"Dale County, Alabama"
24,01047,"Dallas County, Alabama"
25,01049,"DeKalb County, Alabama"
26,01051,"Elmore County, Alabama"
27,01053,"Escambia County, Alabama"
28,01055,"Etowah County, Alabama"
29,01057,"Fayette County, Alabama"
30,01059,"Franklin County, Alabama"
31,01061,"Geneva County, Alabama"
32,01063,"Greene County, Alabama"
33,01065,"Hale County, Alabama"
34,01067,"Henry County, Alabama"
35,01069,"Houston County, Alabama"
36,01071,"Jackson County, Alabama"
37,01073,"Jefferson County, Alabama"
38,01075,"Lamar County, Alabama"
39,01077,"Lauderdale County, Alabama"
40,01079,"Lawrence County, Alabama"
41,01081,"Lee County, Alabama"
42,01083,"Limestone County, Alabama"
43,01085,"Lowndes County, Alabama"
44,01087,"Macon County, Alabama"
45,01089,"Madison County, Alabama"
46,01091,"Marengo County, Alabama"
47,01093,"Marion County, Alabama"
48,01095,"Marshall County, Alabama"
49,01097,"Mobile County, Alabama"
50,01099,"Monroe County, Alabama"
51,01101,"Montgomery County, Alabama"
52,01103,"Morgan County, Alabama"
53,01105,"Perry County, Alabama"
54,01107,"Pickens County, Alabama"
55,01109,"Pike County, Alabama"
56,01111,"Randolph County, Alabama"
57,01113,"Russell County, Alabama"
58,01115,"St. Clair County, Alabama"
59,01117,"Shelby County, Alabama"
60,01119,"Sumter County, Alabama"
61,01121,"Talladega County, Alabama"
62,01123,"Tallapoosa County, Alabama"
63,01125,"Tuscaloosa County, Alabama"
64,01127,"Walker County, Alabama"
65,01129,"Washington County, Alabama"
66,01131,"Wilcox County, Alabama"
67,01133,"Winston County, Alabama"
68,02013,"Aleutians East Borough, Alaska"
69,02016,"Aleutians West Census Area, Alaska"
70,02020,"Anchorage Municipality, Alaska"
71,02050,"Bethel Census Area, Alaska"
72,02060,"Bristol Bay Borough, Alaska"
73,02063,"Chugach Census Area, Alaska"
74,02066,"Copper River Census Area, Alaska"
