GEOID,ST_ABBREV,msm_pop_county,male_pop,value,type,demographic,Category
01001,AL,599.14,2270,0.1331,proportion,18-24,Age
01001,AL,599.14,2270,79.7725,count,18-24,Age
01001,AL,599.14,2270,0.0351,rate,18-24,Age
01001,AL,599.14,3702,0.2448,proportion,25-34,Age
01001,AL,599.14,3702,146.6911,count,25-34,Age
01001,AL,599.14,3702,0.0396,rate,25-34,Age
01001,AL,599.14,3753,0.1563,proportion,35-44,Age
01001,AL,599.14,3753,93.6277,count,35-44,Age
01001,AL,599.14,3753,0.0249,rate,35-44,Age
01001,AL,599.14,3932,0.1816,proportion,45-54,Age
01001,AL,599.14,3932,108.7969,count,45-54,Age
01001,AL,599.14,3932,0.0277,rate,45-54,Age
01001,AL,599.14,8016,0.2842,proportion,55+,Age
01001,AL,599.14,8016,170.2518,count,55+,Age
01001,AL,599.14,8016,0.0212,rate,55+,Age
01003,AL,2498.86,8524,0.123,proportion,18-24,Age
01003,AL,2498.86,8524,307.4176,count,18-24,Age
01003,AL,2498.86,8524,0.0361,rate,18-24,Age
01003,AL,2498.86,12956,0.2108,proportion,25-34,Age
01003,AL,2498.86,12956,526.8609,count,25-34,Age
01003,AL,2498.86,12956,0.0407,rate,25-34,Age
01003,AL,2498.86,14471,0.1483,proportion,35-44,Age
01003,AL,2498.86,14471,370.4947,count,35-44,Age
01003,AL,2498.86,14471,0.0256,rate,35-44,Age
01003,AL,2498.86,14683,0.1669,proportion,45-54,Age
01003,AL,2498.86,14683,416.9418,count,45-54,Age
01003,AL,2498.86,14683,0.0284,rate,45-54,Age
01003,AL,2498.86,40242,0.351,proportion,55+,Age
01003,AL,2498.86,40242,877.145,count,55+,Age
01003,AL,2498.86,40242,0.0218,rate,55+,Age
01005,AL,254.3,1154,0.0742,proportion,18-24,Age
01005,AL,254.3,1154,18.8588,count,18-24,Age
01005,AL,254.3,1154,0.0163,rate,18-24,Age
01005,AL,254.3,2128,0.2573,proportion,25-34,Age
01005,AL,254.3,2128,65.4195,count,25-34,Age
01005,AL,254.3,2128,0.0307,rate,25-34,Age
01005,AL,254.3,1773,0.3038,proportion,35-44,Age
01005,AL,254.3,1773,77.247,count,35-44,Age
01005,AL,254.3,1773,0.0436,rate,35-44,Age
01005,AL,254.3,1627,0,proportion,45-54,Age
01005,AL,254.3,1627,0.0014,count,45-54,Age
01005,AL,254.3,1627,0,rate,45-54,Age
01005,AL,254.3,3760,0.3648,proportion,55+,Age
01005,AL,254.3,3760,92.7732,count,55+,Age
01005,AL,254.3,3760,0.0247,rate,55+,Age
01007,AL,298.78,1083,0.1943,proportion,18-24,Age
01007,AL,298.78,1083,58.0488,count,18-24,Age
01007,AL,298.78,1083,0.0536,rate,18-24,Age
01007,AL,298.78,1827,0.2114,proportion,25-34,Age
01007,AL,298.78,1827,63.1744,count,25-34,Age
01007,AL,298.78,1827,0.0346,rate,25-34,Age
01007,AL,298.78,1708,0.2008,proportion,35-44,Age
01007,AL,298.78,1708,59.9931,count,35-44,Age
01007,AL,298.78,1708,0.0351,rate,35-44,Age
01007,AL,298.78,1669,0.1745,proportion,45-54,Age
01007,AL,298.78,1669,52.1507,count,45-54,Age
