state,educ,mean,median,q025,q975
AK,1,0.01726507269025439,0.017116930221045247,0.012320870423345363,0.023052245262324862
AK,2,0.01847113572689071,0.017625381506568106,0.008878203816359932,0.0326515023997304
AK,3,0.010688899191740854,0.01043603006843867,0.006232942546684062,0.016557484579407873
AK,4,0.009861854763198886,0.008661808818416702,0.0032365405064061848,0.023421802910055176
AL,1,0.019453368361798912,0.01941967319145932,0.015437453938531822,0.023624645345448662
AL,2,0.0177093169057632,0.017202801379769074,0.01019857752528135,0.028119533781793094
AL,3,0.012945929440020935,0.012803438441730822,0.008991045581545433,0.017724199795540727
AL,4,0.011076017268443402,0.010297047080825895,0.0045889644690982985,0.021783389139978508
AR,1,0.01109952238680283,0.011049864025680183,0.007784557700964273,0.014657936936542505
AR,2,0.006240941165224997,0.005769288657213041,0.002680715806066496,0.012345727804460046
AR,3,0.012136180859426991,0.011983955905826137,0.0078019737201494846,0.017307109777983883
AR,4,0.00985879449375925,0.009034462666809032,0.0036888762591076214,0.020621265857308592
AZ,1,0.02737104030992073,0.027069840509833,0.019021628705300025,0.03744716783429605
AZ,2,0.020818567988008244,0.019996046274370845,0.01142288213058366,0.03504119825773451
AZ,3,0.04274632309660483,0.042044226899434864,0.02687691960050326,0.06262312810508408
AZ,4,0.01491946413013885,0.013703995819384246,0.006620132733178848,0.03028500027289866
CA,1,0.03565974486915884,0.03556912288023763,0.027518889063376892,0.04433118354882563
CA,2,0.03852913229058288,0.03771724819388045,0.023388978247094003,0.058173031896013326
CA,3,0.03628185607102094,0.03573679729086897,0.023914461558803612,0.051706466495262296
CA,4,0.016592348300604562,0.015450474552469253,0.007613452681564416,0.032014155700766524
CO,1,0.024433634971391106,0.024361352749881285,0.02003141369326187,0.02923278819112581
CO,2,0.017011554516819006,0.016711775888071427,0.010765538840689358,0.024961663648219605
CO,3,0.031616924298863064,0.031321183046866166,0.022951606888296273,0.04195637092147112
CO,4,0.013550487542760024,0.012777266655496472,0.00644426131230042,0.025049674494977397
CT,1,0.0166293154746373,0.0165680863576044,0.01304358710162159,0.02057660327572769
CT,2,0.015926654005420347,0.015661204940153703,0.010427731331085887,0.022865882802484437
CT,3,0.01397324805167047,0.013822433692794253,0.009820042513896685,0.018986260308708675
CT,4,0.008566450368402681,0.0081486176756923,0.00431575330749134,0.01521891237532246
DC,1,2.3064928274105747,2.2493346528527214,1.3251167712703071,3.618668949219606
DC,2,3.418938074704551,3.243554620944437,1.620348272334033,6.216570323728669
DC,3,2.4004312617758043,2.3506255823195277,1.4498828956855963,3.627279961763149
DC,4,0.9557549182773984,0.8505452894148959,0.3037284087140579,2.2066802336743314
DE,1,0.029191022742552683,0.028370719738890524,0.0177705619642543,0.04522426315828649
DE,2,0.041633472735542916,0.03908225565220667,0.015542337027567877,0.08213066032731822
DE,3,0.021645481209689524,0.02082471845298909,0.01295278236962878,0.035122261062002814
DE,4,0.02058306560091823,0.017063364879009738,0.005825290382984516,0.056396109946802185
FL,1,0.031609277839422925,0.031567428006633744,0.026327973429231388,0.037137161386601364
FL,2,0.030336715444254023,0.0298989869717173,0.020235786335872502,0.04296707296599364
FL,3,0.030756834619339507,0.03059614335148004,0.02351281532464517,0.038912749986189876
FL,4,0.015444718479980234,0.014827564379185566,0.008256550875248661,0.026166092619121267
GA,1,0.020357042157609643,0.02031852957644102,0.016308411262213586,0.024631416877131836
GA,2,0.010845123094520568,0.010523861436469373,0.006242307372239979,0.01729039527196841
GA,3,0.026341053556868565,0.02620194274561406,0.020105565422535866,0.03340205585010728
GA,4,0.017964978687886372,0.016944341508395633,0.008631529150314794,0.03323624190624939
HI,1,0.04510890001627603,0.04455869878698968,0.030807953894609455,0.06252319432160833
HI,2,0.04445228419015535,0.041523369566443924,0.018054649483517694,0.0866759669140075
HI,3,0.04335618712859512,0.04206581821476728,0.024060194107560072,0.07007092921600362
HI,4,0.059753184443228836,0.05053517718363787,0.014340730807636775,0.1527512873416589
IA,1,0.019069344693955933,0.01904839331037759,0.01413675321949317,0.024110043820860277
IA,2,0.015411742222493498,0.014396660368129532,0.006920162742014148,0.029313595034600806
IA,3,0.015016916716533766,0.014786702842586201,0.009261052569864902,0.022109169521107926
IA,4,0.013758490672770922,0.011913376813174056,0.004394443476505488,0.033750827886927806
ID,1,0.02359318401733957,0.0235140598536105,0.017622756707336564,0.030032764119440083
ID,2,0.023735365512589493,0.022538199171589387,0.011228440674323298,0.04286409607691513
ID,3,0.015710086617963737,0.015396919274928905,0.009458002147646603,0.0237418927073928
ID,4,0.014765984578423432,0.013477355800342733,0.005443104520048946,0.03133213300274291
IL,1,0.025880209950081782,0.025633712431550056,0.019741968016832912,0.03343533244726101
IL,2,0.014830856299287681,0.01439260392174508,0.00880396757353925,0.02340284719725244
IL,3,0.035039433849149634,0.034574479134568244,0.024387071484351538,0.04852699395143515
IL,4,0.009578565747021069,0.009001706760690932,0.004427590062212788,0.018017927501954932
IN,1,0.023431988488030592,0.023380281465365166,0.01890463359645816,0.028226031524381797
IN,2,0.017329907442390796,0.016753822075995274,0.010326097068608557,0.027474975631293537
IN,3,0.024031124703354906,0.0239117908058004,0.018615122356873223,0.03008873045708549
IN,4,0.015237078525701284,0.01438657347849219,0.0073920347930185384,0.027885032526799042
KS,1,0.0183784533514922,0.018340195368901878,0.014487976544089868,0.022466979738850253
KS,2,0.011443173696675567,0.010882726289232002,0.005795418855624879,0.020086430349781133
KS,3,0.015882823673289293,0.01568966670387952,0.010968782835992135,0.02183670568139277
KS,4,0.010947914294400358,0.009887809907885466,0.004117502277515762,0.02378185285663427
KY,1,0.02235906574799856,0.022236155989556868,0.017012027637157603,0.028321777763607062
KY,2,0.025655872361926003,0.024682558047655234,0.015189345286688739,0.04117374099028719
KY,3,0.019038968163777127,0.018815265446353896,0.013833002058385521,0.025461350228064
KY,4,0.016101415320142202,0.014688097494866915,0.006907365466128044,0.0330001729190675
LA,1,0.018746965348240822,0.018718298342319886,0.013514902817526696,0.024110858816189483
LA,2,0.012459479264475772,0.011974880501703235,0.006295457247451628,0.02137938080626649
LA,3,0.017135616901128727,0.016963770543538863,0.011144975524568723,0.024076723710628543
LA,4,0.01504903565225114,0.014151444211374788,0.006217832363122425,0.029038136302767102
MA,1,0.03626355331558811,0.03620014611984208,0.029368143302393818,0.04362431235201818
MA,2,0.01930917977032262,0.01877910131868825,0.01189630746960789,0.02971866174241635
MA,3,0.037285876575681776,0.036969311095200616,0.027624456180094906,0.04881765732445793
MA,4,0.012468323176793429,0.011163486890426677,0.005359151835583147,0.027319580180280283
MD,1,0.026765385517099862,0.02672388631398849,0.020712362461496117,0.033024363818616835
MD,2,0.016288755389171964,0.015787360965195528,0.009674552718215487,0.025814396218565135
MD,3,0.028881939699191575,0.02864273232499953,0.020615982940545004,0.03860294723919731
MD,4,0.014148674880363756,0.0123398223640113,0.0052421614130524746,0.03373025374866012
ME,1,0.015669581613232578,0.01557630801166966,0.01101682456153202,0.02082270663154597
ME,2,0.01393825591237443,0.013266427824102919,0.0064463351335243705,0.02495424034937645
ME,3,0.012838063673529179,0.01256803361159268,0.007727133750952294,0.019433436637082788
ME,4,0.010208795282540591,0.008838647989788739,0.0033652953393603063,0.025105416586066857
MI,1,0.02164451576028077,0.021606915129211753,0.01790385845691701,0.02561887361250931
MI,2,0.016889224682102928,0.016556768917769138,0.010823127088499912,0.024814363031844942
MI,3,0.021383493831100695,0.02126135066418565,0.016310363009759504,0.02711650002880273
MI,4,0.010532346278942149,0.00980936283529991,0.004948663149104647,0.020228307705637896
MN,1,0.025130110785665065,0.025017168960718546,0.019950176074020283,0.03095746036648306
MN,2,0.015549333425249804,0.01509140520814686,0.009105883003643475,0.024577469746327536
MN,3,0.03499597419833055,0.034660412948509106,0.02505517055390335,0.04692969314611147
MN,4,0.017247118267290976,0.016116623256324923,0.007860343686784116,0.03317475374485929
MO,1,0.02174000896143991,0.02167400794073465,0.01733993985451492,0.026499199904531538
MO,2,0.01834737312157542,0.01782577952969673,0.011223899860747455,0.028302702332115053
MO,3,0.023873949848951855,0.02372422176081006,0.01815589739074568,0.0303898437303837
MO,4,0.018621087780508964,0.017277635702232806,0.00821660548853024,0.03651864653891309
MS,1,0.014691689863845302,0.014582504972497943,0.00976417184815624,0.02013797195239035
MS,2,0.01616123742693767,0.014549187212334495,0.006054567121885746,0.03461711108630592
MS,3,0.013720197300109453,0.01338717445641411,0.008746430020375673,0.020420603426898845
MS,4,0.015181851498796991,0.013696966702880613,0.00574711050878888,0.032647773390238694
MT,1,0.016353884322880465,0.01629422528502054,0.011636867316528758,0.021422527600184676
MT,2,0.013443776301596346,0.01221312585489491,0.005185672912915105,0.028270701694900435
MT,3,0.012826555222916406,0.012473841898181858,0.007343872578273568,0.020255141834882806
MT,4,0.015223404044269993,0.012139235336044496,0.0036944472507902826,0.044613579306371366
NC,1,0.022048786254324937,0.02201894675831014,0.017970750866800334,0.0262345252943084
NC,2,0.016727486609306116,0.01624851126675233,0.010114804627354075,0.025844602779138436
NC,3,0.023491072309614325,0.023316197434236453,0.01747330283239007,0.030405895867664515
NC,4,0.015330145219249448,0.014574919529317741,0.007780813112066644,0.027191310218616187
ND,1,0.016738190531406832,0.016546260753555694,0.011935215224423049,0.022665275723614826
ND,2,0.010632081145542734,0.009841789988238828,0.004444460991645617,0.021057143265201275
ND,3,0.011556227612504891,0.011267647412066956,0.00669084007950192,0.018088234805219854
ND,4,0.011575168905202955,0.01039628550363519,0.003983977476182325,0.02583814063902511
NE,1,0.008896061777658776,0.008868008458757265,0.0066240687668695205,0.01132916066842306
NE,2,0.006748321275503373,0.006350416162290127,0.002997292592508622,0.012654202009539333
NE,3,0.006761113121014966,0.00662987322740472,0.0040147502903758485,0.010244196368493313
NE,4,0.0029994615974335195,0.002575934992645445,0.0009118697677218795,0.007543260792743046
NH,1,0.011243854443843345,0.011171363566801734,0.00808047986496274,0.014847314462648612
NH,2,0.010243892265819548,0.009803030614895875,0.005067096429996776,0.01776306232059534
NH,3,0.009495289544818557,0.009293063543142147,0.0061229877033946315,0.014030099459352298
NH,4,0.008269811945200635,0.0071892616592626035,0.0028175449248456904,0.020021760757896443
NJ,1,0.027754589469115645,0.027739956989889056,0.02220631424701925,0.033406271272544884
NJ,2,0.023987505042562488,0.023507404828038647,0.015416913600038572,0.035266254489499965
