state,ethn,mean,median,q025,q975
AK,1,0.005360743052200497,0.004620036069335587,0.0016581565714849638,0.013337367751152997
AK,2,0.019999885313948567,0.019839123122693186,0.016308410114347235,0.02466749674401661
AL,1,0.009962274078661779,0.009466018553370412,0.005007733737011583,0.017728703653210984
AL,2,0.02369603410324646,0.023668311703513096,0.02170353825904338,0.025870471177690826
AR,1,0.001780074764121995,0.0015864886016131187,0.0006548792767900332,0.004024590052766349
AR,2,0.016922969915811582,0.016892246570476305,0.0153360412921927,0.018683877727169167
AZ,1,0.03728675242011289,0.036548062179977,0.02285838874316447,0.05598835676531583
AZ,2,0.04070103554874089,0.040357782229249003,0.030193397234210505,0.053089510697631306
CA,1,0.0493822382316155,0.04921281010631946,0.03576266949831992,0.06395688220783535
CA,2,0.04277747332672317,0.042622176315288474,0.03421320858488886,0.05217250111425917
CO,1,0.024542718495154,0.0240043784608168,0.01498926115853949,0.03699843439204337
CO,2,0.03513453412088432,0.035062651894238794,0.03054144397182105,0.040181017849080625
CT,1,0.02282839974962923,0.022388727663852075,0.013949088034239634,0.03418851261774211
CT,2,0.02144838516688963,0.02137014066670055,0.01840338097691059,0.024923601327628348
DC,1,4.8557116583037745,4.57702460684576,2.223959680614086,9.067477074941635
DC,2,2.7546704717087525,2.7212650211972473,1.979205911371118,3.717736552744349
DE,1,0.019008559996141882,0.017882080398021055,0.00909454608255082,0.03527125974922338
DE,2,0.04380475213180933,0.04318357994957268,0.032297037574372744,0.059029677223682415
FL,1,0.020671281309294808,0.020385481232646767,0.013487506458907207,0.029545032095438444
FL,2,0.05209311724542538,0.05206035117740819,0.0472952693945867,0.05708170761447112
GA,1,0.017222514992850345,0.016554594501642896,0.008655314280249685,0.029467231908268995
GA,2,0.029484379160124762,0.029427886241606128,0.02654078409492747,0.03273407570107923
HI,1,0.018468817800497014,0.01493363582693618,0.005127239080223742,0.048972270477811296
HI,2,0.0681060216957371,0.06758079462956151,0.05246256267408148,0.08664833167097159
IA,1,0.0029924060039598992,0.002639517656649889,0.0011456330011221248,0.006887291026603515
IA,2,0.024404219981815682,0.024348095073477398,0.022172333558304204,0.026950399275110747
ID,1,0.0060334224774051416,0.005328691885020439,0.0019842235123525586,0.014139277768691231
ID,2,0.029952261151681443,0.029825464357114126,0.02578814541499987,0.03488530600740778
IL,1,0.004000060594192163,0.0038476697825527194,0.001896477802308956,0.006948683626403516
IL,2,0.041880833007832706,0.04159857581890687,0.03485466645365316,0.05052442247831215
IN,1,0.01186052148601721,0.01154583930941151,0.007141179170154308,0.01847746217647107
IN,2,0.03173921697125441,0.031670521256938026,0.029046839290306187,0.03481557941066463
KS,1,0.004963286162739479,0.004752278453856398,0.002696074538946551,0.008440437617990485
KS,2,0.023860049284395196,0.023800058077815975,0.021282102473101066,0.02678731894485257
KY,1,0.016382470492791838,0.015809017108764027,0.009385769155347239,0.02669631600609956
KY,2,0.029430673097984344,0.02936335816661155,0.026683608631929954,0.03255873398283012
LA,1,0.004303473019948022,0.003726390313473246,0.0013719192583551974,0.010584805006331
LA,2,0.025225765191124214,0.02519315590708067,0.023156118835735307,0.027484864095466674
MA,1,0.015690105080465883,0.01501176607999151,0.00851459651056515,0.026748484388101776
MA,2,0.048772416681769445,0.048676013019808534,0.043385693857777075,0.054744818299080275
MD,1,0.022618542565706917,0.02181808721793475,0.012874183730724775,0.03685586008815278
MD,2,0.03624234027376349,0.03619629139274881,0.03221685461252863,0.04051200670456341
ME,1,0.002559027097646032,0.002216136649701139,0.0008263560499851332,0.00631474458915325
ME,2,0.0219842430876571,0.021900008088655557,0.018920925565604322,0.025575820135684955
MI,1,0.020965972719889196,0.020377222128410383,0.012444734018987179,0.032887498355741465
MI,2,0.02851986227732025,0.028469119718009576,0.02602253084115593,0.03130937719645098
MN,1,0.027327694688451833,0.026533192444660778,0.01604699241431524,0.043222861959507156
MN,2,0.03540491823255535,0.03526278091703069,0.030949295121733195,0.04070249064072794
MO,1,0.015623551355289688,0.015065364476810247,0.008961137265720768,0.0254739984148189
MO,2,0.03091020112142737,0.030864258296189467,0.028160215245142364,0.03393441351347782
MS,1,0.0029969326516332503,0.002818162559357646,0.0015478394672334332,0.005458881781743552
MS,2,0.020748205190847756,0.020710095268660383,0.01896054935779927,0.02276849481388543
MT,1,0.001958449911591331,0.0016611906611636814,0.0006515427308320284,0.00498030541265681
MT,2,0.021520508863977706,0.021442979833529822,0.01879138740429368,0.02469594409837788
NC,1,0.0198331915677641,0.019391792348850134,0.012187079306647858,0.02998106307797112
NC,2,0.03072685023661477,0.030695861282034928,0.02830123508134101,0.033352052266921124
ND,1,0.0040392033316002905,0.0034546567792505794,0.0012423981015461682,0.010271305235417257
ND,2,0.019177085164113657,0.018929744049225008,0.015391997035882754,0.024361039779635427
NE,1,0.0006443533054069362,0.0005570651215575859,0.00022550569325195278,0.0015695459065524751
NE,2,0.01291670182630898,0.012858661762767166,0.011144951857951415,0.015003269438019957
NH,1,0.008352845956494059,0.007952725969906354,0.003919455240924892,0.015075454362177295
NH,2,0.016116733528337316,0.01603755728287844,0.01331028265685844,0.019374822574562876
NJ,1,0.02679025435980596,0.026331432004736845,0.016993583135995152,0.03924505635693296
NJ,2,0.0375360896988393,0.03757555448211965,0.03247214864049852,0.04236986434831014
NM,1,0.006042833009081972,0.005533737922929399,0.0023712431883546304,0.012556679942578546
NM,2,0.031255559859345326,0.0312007058163817,0.025284472331293377,0.03752406537395438
NV,1,0.29658265014398905,0.2912710564765405,0.13218521616089215,0.4903498080470046
NV,2,0.09527910141694958,0.09376458690514133,0.055541614634103634,0.14351970561265504
NY,1,0.025310770857333697,0.02459854640850884,0.014807007254663601,0.0399231909725839
NY,2,0.054205646303391586,0.0541260217004155,0.0487471099013612,0.060104908855610394
OH,1,0.02962451663449669,0.028671087243248294,0.01720943856355256,0.047411705899974656
OH,2,0.032451446687536196,0.032401925413355265,0.029810411661848172,0.035379160353678066
OK,1,0.016202032103761914,0.01581511910578813,0.01001613052430613,0.02467960228271715
OK,2,0.02803124307453171,0.027939120589518952,0.024565626131760627,0.03200313556708681
OR,1,0.048468103719924854,0.04754205082679409,0.02996218589844365,0.07213983876343374
OR,2,0.029535296156420924,0.02943987993424317,0.02570464474199369,0.033938784505291975
PA,1,0.026782423271656038,0.026318356750525712,0.01683626918069252,0.03938699968086029
PA,2,0.033892083173992726,0.03383155464130986,0.030989587887357662,0.037123670450151684
RI,1,0.25222090417441984,0.24199098910066524,0.09816898741438641,0.4635117203117623
RI,2,0.07768928584746404,0.07700131774223853,0.059484477609370104,0.09968228930463499
SC,1,0.006852762236632135,0.00607318073831549,0.002564588508280223,0.015659526986507074
SC,2,0.028687315297654985,0.028658426421163646,0.0263084321591317,0.031236383071060594
SD,1,0.001533760089523289,0.0013370619853446202,0.0005988177679148052,0.0036174087112531323
SD,2,0.016282228469140615,0.016202015707116185,0.014090084848466106,0.01896937632643508
TN,1,0.020087073794792548,0.019612959703473723,0.012256523020515307,0.030766855061410355
TN,2,0.029726234239182605,0.029662529555406315,0.026937568040945475,0.03286258370008863
TX,1,0.02585247779704198,0.025714220200215205,0.0184192315448521,0.03414585656577969
TX,2,0.03681246681206139,0.03675294602010823,0.03137215075813309,0.042562822908886
UT,1,0.02197095456888415,0.021196353361265668,0.01196641703938836,0.03642983506906721
UT,2,0.02907303250518089,0.02888346674782951,0.023909747123958772,0.035260856391569145
VA,1,0.023670999716938246,0.023319364391125405,0.01657970235694696,0.032659749399327045
VA,2,0.03177116580985974,0.03175105156650242,0.02952458994661552,0.03414803143015367
VT,1,0.004843352193467921,0.004418520784474864,0.0023531579727263884,0.009821148633897258
VT,2,0.044560864678185555,0.044330999178611184,0.03696286024139661,0.053597396421909034
WA,1,0.035504153381197064,0.03443386696553245,0.020594689852426424,0.05644152175889315
WA,2,0.041816835120566685,0.041600772732458435,0.03564371142160559,0.04923111877216784
WI,1,0.011194425857197793,0.01085833245956698,0.006634625661074651,0.017761391854955347
WI,2,0.028066922606863765,0.02801149826391704,0.025535927085569142,0.03091551427507823
WV,1,0.005553870910242601,0.004836225224181024,0.0019724962015382785,0.013364965960190989
WV,2,0.026206247901494138,0.026144691229192878,0.02354032568321856,0.029245569655151123
WY,1,0.0005048621211239263,0.00046163863690323745,0.00025337896373865335,0.0010043142376071554
WY,2,0.010725033362390973,0.010601409381700202,0.0086116615476069,0.013547597130747793
