age,mean,median,q025,q975,state
1,1245.0306488903886,1170.5797431294325,498.65716241909297,2412.3056859244853,AK
2,2236.047302720562,2185.65308459459,1285.7949068831115,3472.0343115586747,AK
3,1541.3808442150603,1500.4447455864577,845.0092166073598,2466.487453983645,AK
4,850.0976638095386,806.5716207098446,396.4389872728278,1550.8660185561337,AK
5,2020.4563553749806,1980.476460876745,1151.6593625319683,3122.4411632419383,AK
1,9578.17949194985,9279.006967551031,5186.541858104112,15709.90946647597,AL
2,12834.650548988187,12626.745045642992,8264.960442185178,18539.902236265734,AL
3,10130.8626889984,9960.513836676742,6530.487774256051,14688.062066775154,AL
4,7343.023510183374,7158.685062517199,4340.524532542203,11343.920994754319,AL
5,16306.236265489742,16173.800977330382,11044.036669487328,22274.638966778686,AL
1,5191.455451302257,4910.202395204042,2189.6612154674112,9778.193009689556,AR
2,8344.210359130022,8109.710686179567,4779.375290732286,13175.177033218539,AR
3,6580.7642879557325,6403.813043856664,3640.880759201339,10441.999203946549,AR
4,3630.8592055536146,3481.972070419062,1803.6384144279577,6289.1814305439,AR
5,10252.410474991582,10140.828581673259,6173.921383834376,14925.325890254855,AR
1,12999.104325257365,12124.350539857325,6172.145612811164,24823.236798626225,AZ
2,42016.91708912243,41144.24214665849,25351.201153623177,63642.5488853054,AZ
3,18923.200668784062,18044.457654091544,9855.228852670169,33100.60277113731,AZ
4,16391.669451025926,15593.301782502687,8448.688156676004,28873.976327562126,AZ
5,52490.509429154146,51611.77183623146,32858.11426764452,77424.27573133897,AZ
1,82747.7918109678,79011.04717509075,46052.38600061984,140468.94060671667,CA
2,266425.9953933416,263635.1915763557,175525.30968142368,374042.6049068731,CA
3,127115.15922210389,122660.36921722988,74618.20836459173,204207.44463218315,CA
4,109495.25788690938,105834.47893088221,63883.05918016484,176250.7945912645,CA
5,280760.0685031598,277659.1311592029,183255.1761313238,396290.2515196005,CA
1,13144.279164647052,12885.013188299552,7979.185229852451,19799.770364515774,CO
2,31851.598208652453,31602.485922810098,23131.523882429974,41920.32465266538,CO
3,18777.151337298335,18531.544036412815,13025.888581587978,25942.137365034087,CO
4,12858.161718474421,12638.45831450334,8377.175757656487,18643.945263599908,CO
5,27405.611503848886,27157.52887347882,19888.280471619724,36270.64258924471,CO
1,3813.518864634965,3658.789876758809,1990.570205468224,6487.545646961675,CT
2,7431.219468156015,7337.161276362762,5076.6918244039625,10309.58144832802,CT
3,4276.463362155068,4189.2376337721935,2759.016568795944,6281.1674004233055,CT
4,4145.107167103188,4048.413931839835,2534.2501477177607,6297.156284242468,CT
5,10260.577537333083,10162.725088410749,7220.4912236149485,13873.933823143116,CT
1,2740.7512008838053,2468.642121986161,926.6473207908889,6136.065607640496,DC
2,17500.971964879205,17132.809235652523,10206.126725963448,27082.51741154367,DC
3,6343.222994988237,5972.105648128568,2739.771712657493,11973.668778524521,DC
4,4117.115895129555,3856.08564091671,1772.738522449117,7947.719502870726,DC
5,11273.263874054186,10874.812652619526,5815.860572358493,18927.496426629394,DC
1,3052.001549255175,2857.661337635498,1485.0425400741183,5777.316130080847,DE
2,4329.091621355871,3984.9438830929207,2084.251614632155,8496.402847848038,DE
3,4390.149141158967,4113.651701579853,2210.5181746975063,8140.941421701675,DE
4,1800.5444086849964,1713.9547297509193,904.998008642573,3176.913591173796,DE
5,8234.813488518543,7958.5703609300435,4430.867349784916,13635.341961881453,DE
1,55265.91541955158,54109.38783291756,33594.4384045444,83411.55362236187,FL
2,112026.10331602838,111137.3725109281,80925.20791367043,147991.60440935218,FL
3,70301.29088674711,69314.53214947801,48846.9385892637,97584.98148006538,FL
4,64564.14822809703,63549.99194239737,42481.35632432125,92423.54317816117,FL
5,160825.05408614888,160164.4939523639,122491.38072228056,203188.13137754312,FL
1,27057.745294291086,26557.10760998437,16420.24575009567,40589.88657392194,GA
2,41601.123141175754,41188.41665428753,29581.102249481824,55836.63613608626,GA
3,30433.1399959029,30058.391158044178,21003.325070974413,41890.27621328292,GA
4,23756.392599262264,23221.55755411213,14863.357292252173,35524.431260269135,GA
5,42364.07998777382,42076.96624044182,31362.05337711856,55075.43306455536,GA
1,3302.3897520328132,3071.97377825432,1272.5236054275506,6637.396093987515,HI
2,5842.733058869815,5679.662763939448,3265.5089145327174,9329.174828101757,HI
3,4341.761550349491,4198.004345363207,2354.761299758484,7094.905418220728,HI
4,2838.2914038369586,2693.3620386079465,1321.0255973860708,5164.4203721825625,HI
