educ,mean,median,q025,q975,state
1,4782.121791517455,4741.606962906714,3413.9806560155034,6386.88729582426,AK
2,1092.462084744022,1042.259942380184,524.6058563412977,1930.7916126988348,AK
3,1643.2539445928296,1604.3880176103385,958.864593361574,2549.0789179696003,AK
4,375.17499415622405,329.5953559693204,122.76297038073248,891.401445117466,AK
1,31523.461228139626,31474.043877578988,25020.196209936472,38277.32133255536,AL
2,6589.271586040087,6401.145600580746,3798.2467234517017,10462.31004721448,AL
3,13545.97803674227,13397.600915368093,9412.91966210913,18544.84323498241,AL
4,4534.241654687576,4214.583619828477,1876.6330584536486,8919.919733569377,AL
1,16783.291118704296,16707.533989826472,11774.141717399896,22166.511463961513,AR
2,2864.0463214581905,2647.4483310141677,1230.361622876607,5669.014584137046,AR
3,10759.026321145158,10620.85656588167,6910.973008971117,15343.034174397299,AR
4,3593.3360176255633,3290.859438534939,1345.7788639575945,7523.993417374874,AR
1,72012.46083947057,71215.84879455103,50035.55657708616,98515.12616163529,AZ
2,13029.297942527483,12517.007641999193,7148.9674494218625,21939.621708098326,AZ
3,49729.64335562855,48925.74238281624,31259.96678484686,72822.40545581537,AZ
4,8049.998825717318,7389.926116767119,3570.830365502281,16350.252525946522,AZ
1,465805.9331367643,464645.0122311326,359389.2488850744,579034.5092772847,CA
2,137104.3522062645,134198.53650779263,83220.43956471748,207023.63140317844,CA
3,196125.17711740086,193182.1928999442,129318.21913160197,279539.0950037758,CA
4,67508.81035605283,62852.39895637683,30987.599370981367,130298.85786831897,CA
1,58733.19341825013,58557.15219432613,48161.95157653572,70258.11575878492,CO
2,13332.627659979209,13097.902507693263,8439.731507821793,19572.61463940737,CO
3,27898.674112431774,27634.76821312606,20246.209348272387,37018.072504781296,CO
4,4072.3067422600293,3838.1513908491306,1935.056119279027,7528.219633753345,CO
1,15340.39358121413,15286.002301907378,12031.424061153075,18979.173116846676,CT
2,5854.584885406619,5756.721369922075,3833.2072311262486,8402.679491617422,CT
3,7258.097213814328,7176.692657762709,5098.925323990475,9861.944239670273,CT
4,1473.8107189472428,1402.0679444619777,742.3875349543631,2619.158111092664,CT
1,15848.195217235647,15467.65169403829,9034.434253041538,24882.60455332267,DC
2,3980.036033634785,3732.455112428705,1619.632891134736,7739.318952187155,DC
3,19463.150605256713,19079.408978321022,11744.722154074443,29341.678320551076,DC
4,2683.944073807844,2380.3599107204063,833.2143321992856,6273.175007449772,DC
1,10644.10983901466,10348.740656427208,6482.231892588236,16487.963809331675,DE
2,5657.816225617385,5311.937577284096,2110.2384959254277,11162.133509732215,DE
3,4293.243732520324,4132.063459096686,2568.676799341401,6966.122910365384,DE
4,1211.430411821183,1003.7408114068709,342.29888302727454,3320.051790291631,DE
1,246419.4646968393,246091.0582828782,205267.90769301975,289483.44757712923,FL
2,58723.471027307336,57882.701762479686,39164.593879932814,83150.76594475297,FL
3,132593.99500489,131915.81154963083,101360.06115574097,167790.86222163826,FL
4,25245.5812075364,24243.76762612441,13499.493619483801,42735.0805134028,FL
1,80886.53812227302,80720.90906166926,64801.40936750136,97864.71761566454,GA
2,11855.624890528105,11504.433571320738,6824.8139920887215,18908.88153405064,GA
3,57057.59392418472,56768.076528930345,43570.53022631199,72324.84013065332,GA
4,15412.724081419969,14541.840154698119,7412.0489555341865,28521.85626470837,GA
1,13658.79050946723,13494.580785404272,9329.651006090091,18929.711466914338,HI
2,3154.8303541992905,2946.849978628902,1282.832839527286,6138.259502449636,HI
3,5254.328449897804,5094.912235337825,2916.2878619333346,8492.885971557385,HI
4,1787.4000816011346,1511.900652557437,429.41541741795356,4571.058731359877,HI
1,21520.984708206917,21497.824539083256,15950.950278738728,27204.713539509077,IA
2,3392.223763388961,3169.459362701241,1523.913597851548,6455.168443974604,IA
3,9795.704912817784,9644.480507520073,6039.172529010242,14419.971429018864,IA
4,2002.9720052863138,1733.9845034756036,639.1527738770694,4910.095066396546,IA
1,11820.45107608634,11781.147737829164,8831.974999405633,15046.09857350633,ID
2,1886.0460045605362,1791.0004646969803,892.0514850911331,3402.03554365946,ID
3,4243.356907976328,4158.7287845434375,2554.32573911023,6413.930801596743,ID
4,1321.5899836756362,1206.2509392698034,487.84113206961206,2802.941790098217,ID
1,116028.36248513941,114925.70699545596,88508.61453506621,149871.90676553553,IL
2,19682.432757206625,19102.684101042756,11688.648243871065,31059.43520032634,IL
3,79232.49465403998,78179.34152770997,55132.55099433958,109686.37999995725,IL
4,8362.582426963183,7857.0972369261,3867.4891157039388,15725.669184842967,IL
1,46447.25078265285,46345.954695996654,37466.04453035075,55936.403226536706,IN
2,7676.2905100253165,7422.738411696222,4576.195770992069,12170.58943535648,IN
3,33753.28619679071,33583.13365256814,26149.606882880806,42270.37907149637,IN
4,6323.709672193495,5969.677809985778,3069.9371733590556,11580.863758187948,IN
1,19026.15769728959,18987.325348600854,14999.3487549373,23258.256606448816,KS
2,2927.5037224568405,2785.3082502726347,1481.553407899127,5138.9966192615375,KS
3,7977.488083623268,7880.405949716741,5510.312789514871,10972.615707934568,KS
4,1755.1946105271059,1586.0002376159787,661.1317233407466,3814.8469255218242,KS
1,31694.63027528099,31519.405047381115,24113.24782214382,40148.05336712894,KY
2,8917.53838950085,8581.138341620252,5279.120347477386,14322.533078433005,KY
3,19781.57866309678,19548.19197814999,14372.533717850612,26445.942040770264,KY
4,5920.376910835753,5404.737567930259,2538.2835450471844,12130.98094946193,KY
1,28360.34417100966,28316.303334147364,20433.605542031633,36484.09416116438,LA
2,4368.387410673095,4198.992692160181,2206.890938956748,7492.991921234197,LA
3,18105.938085652364,17926.076520592113,11769.082380182483,25448.941901315364,LA
4,6101.218951774457,5735.133028756829,2520.7629581624274,11766.968321023876,LA
1,74529.64032245084,74394.18358343425,60377.50558833736,89652.05496182074,MA
2,18582.181570151937,18068.24433695148,11452.477838866747,28605.656969852524,MA
3,36380.1992335367,36065.41786340915,26952.45776060697,47584.29436974209,MA
4,4538.090299315985,4064.143447700383,1950.6425904991154,9946.813997091418,MA
1,48569.3852651793,48498.4666495846,37592.05299640842,59938.763629024,MD
