ethn,mean,median,q025,q975,state
1,157.81875195884487,136.01402902325356,48.8238425618706,392.68245153156835,AK
2,7735.194063051685,7672.790953098307,6306.596184365571,9540.527216641902,AK
1,1409.978854197324,1339.900714978287,708.6026108382367,2509.848884202914,AL
2,54782.97365141223,54718.959961641245,50177.80881444623,59812.00554757166,AL
1,593.2161783692973,528.7047270906935,218.21949493488108,1341.5892483760058,AR
2,33406.48360056391,33345.247717446706,30274.91340609976,36881.452149298755,AR
1,42355.13027307036,41516.2016165035,25966.38513097991,63598.87458832097,AZ
2,100466.27069027357,99620.34717111677,74526.84163509458,131040.42907845213,AZ
1,385156.91883612715,383834.3307500058,278939.34990880906,498851.096463313,CA
2,481387.3539803554,479644.20591279963,385002.72895586205,587106.6876607699,CA
1,15440.297938974041,15103.263549885909,9429.919967593663,23279.073596480666,CO
2,88596.5039939471,88414.40201377819,77009.48875384014,101322.21196223701,CO
1,5548.6974397612385,5441.6241618135355,3390.478811195836,8309.088490606333,CT
2,24378.188959621082,24289.209767011795,20917.297640152778,28327.94451294976,CT
1,2490.102284729859,2341.4865906126684,1113.272304486651,4709.305836638255,DC
2,39485.22364520513,39004.42137524491,28372.35518338017,53231.32852968058,DC
1,1221.4330396720306,1149.0488401226557,584.3882476295433,2266.425337619381,DE
2,20585.167169301523,20293.259725780816,15177.346867352284,27739.816217714637,DE
1,59927.93786261121,59097.895459880725,39104.186315299055,85653.3460906847,FL
2,403054.5740739618,402803.9352792067,365928.51093442866,441654.67621557263,FL
1,11337.728493945537,10899.137866709036,5696.158975542206,19403.573084758053,GA
2,153874.7525244603,153579.58801524225,138515.2990239,170843.1118771485,GA
1,687.4303365049692,555.867066765173,190.89249645438602,1823.2278964759646,HI
2,23152.657418367333,22975.165341371532,17834.893518730554,29456.873726570077,HI
1,348.640271917715,307.5560685058432,133.39400535616636,802.5439833761078,IA
2,36363.24511778226,36279.969789806346,33037.9214249426,40153.54174841303,IA
1,640.4336863037493,565.8010340049946,210.55068770321301,1500.434078657389,ID
2,18631.01028599509,18551.947856850078,16043.323518272004,21697.162465020272,ID
1,4863.719658403178,4678.804092826909,2306.2731725726503,8448.434829471964,IL
2,218442.152664946,216970.15397905896,181792.07502010503,263537.7503097841,IL
1,3229.7749810913424,3143.5464775243217,1944.867371172226,5031.0393542987185,IN
2,90970.76218057104,90774.30968127982,83249.87588564116,99795.0513477008,IN
1,1002.6776313581815,960.0776184885452,544.3813641285174,1705.513016527296,KS
2,30683.666482538625,30606.534626169392,27366.753969823872,34441.71881438153,KS
1,1967.0917326248216,1897.886497678393,1126.5858094004022,3207.3354709322825,KY
2,64347.032506089556,64201.37468939756,58339.21196669488,71185.71895235479,KY
1,721.0154350721729,624.3347355435917,229.66831634539898,1773.3222850671461,LA
2,56214.87318403741,56143.008342935245,51600.31255069723,61250.479994638,LA
1,6557.40738965127,6273.713601792935,3558.2723553953547,11179.047672713947,MA
2,127472.7040358042,127220.75392248348,113390.01373452932,143079.39013360816,MA
1,8083.834608839424,7798.342389628479,4600.207006928955,13172.735077251962,MD
2,85851.54528401513,85742.0025166617,76315.17950169998,95971.93907577546,MD
1,185.4749175893444,160.61927829112597,59.89221775061069,457.75535213864816,ME
2,24182.09991597493,24089.468207773283,20811.124198811307,28132.14375530553,ME
1,6296.398736451081,6119.605873946401,3737.826940516033,9877.206975191313,MI
2,137498.19841162764,137254.46842129843,125456.91656464025,150946.55792259233,MI
