income,mean,median,q025,q975,state
1,1337.0639275657504,1283.6161766401183,639.9085663577558,2340.931506704321,AK
2,923.3967692079601,871.2581182533004,387.0655854562349,1751.0533973136612,AK
3,2703.4240526766853,2657.4608812784486,1600.596512616482,4062.7963510414847,AK
4,2929.1280655601345,2876.6737964751246,1570.7063297320817,4597.822756326187,AK
1,13223.349028601102,13054.134772076672,7956.448203943769,19427.743270872063,AL
2,9620.725112710381,9400.898969662614,5206.07281235779,15255.578465438291,AL
3,19252.83056056387,19118.4743290107,13481.854516699534,25769.109616631944,AL
4,14096.047803734202,13856.468357462636,8630.662544280442,20911.351678513045,AL
1,9288.976749852593,9180.554928048414,5332.260703510183,13940.726150425156,AR
2,7261.261612700355,7061.4262609285015,3473.9068723164864,12139.51590465838,AR
3,11488.526493995269,11355.821993116733,7200.8385717837145,16526.377103575323,AR
4,5960.93492238499,5679.830649047095,2649.4563939538816,10742.159736301908,AR
1,22108.806738266572,21056.896750080534,11576.844715000692,38713.32345789616,AZ
2,25467.35127554878,24006.806045579182,11349.290822146242,47838.39001036674,AZ
3,64690.7203576988,63843.107731268385,41711.46353154819,92446.36520462258,AZ
4,30554.522591829773,29304.1120833143,15402.252664389964,52850.28675989096,AZ
1,107148.69346635423,102861.65587255996,59923.81311767531,179485.85465440483,CA
2,102642.96531676658,96514.53625937257,48781.546842291544,190706.06560771813,CA
3,318946.2124430892,315778.92129754776,209794.03408282777,445568.43016848696,CA
4,337806.40159027243,334366.06198045437,211702.0462339235,481909.75877109676,CA
1,18235.996203507613,17886.015093974354,11389.939516538961,26964.616765916217,CO
2,14708.868492531472,14317.100083681164,8469.194210127996,23206.169270682185,CO
3,41100.33950602729,40855.88775344666,30465.505423307295,53035.945225767995,CO
4,29991.597730854777,29625.20578073457,20094.40542832288,41932.73453083205,CO
1,5311.894843037196,5199.233159732776,3115.437272146335,8133.872885702119,CT
2,3524.261313357271,3401.962026223784,1932.21371104936,5793.747202940657,CT
3,10300.739994605154,10202.392143909989,7186.362262444452,13969.527081000684,CT
4,10789.990248382699,10668.42734869231,7108.912538011464,15140.695458833276,CT
1,4535.924743904504,4147.263178686849,1552.814278751454,9736.4558010187,DC
2,4460.775314372517,4006.034335759649,1379.6657891132145,10068.61815492207,DC
3,20913.974504719692,20513.144112994567,11969.107331417308,32269.662617848004,DC
4,12064.651366938275,11538.225812622406,5224.982633449757,21927.61504615595,DC
