race,mean,median,q025,q975,state
1,353.97729236189247,324.59209974312165,135.56678437940667,742.8556567050585,AK
2,2147.2607553201647,2093.7028468941426,1121.442287897435,3492.9308243639566,AK
3,5391.774767328473,5351.1531195691605,3866.8127699670163,7147.713150424703,AK
1,14306.615033418233,14129.384099646999,9373.208212136175,20247.35484962522,AL
2,4961.701844905871,4726.213912640926,2050.779512967056,9093.150909843265,AL
3,36924.635627285454,36977.54110670397,30116.92604328655,43444.070748567305,AL
1,4220.4206764759865,4094.1531943862483,2336.343127309825,6826.420278139025,AR
2,4969.213557834847,4737.379144311793,1781.822045089371,9393.666255062422,AR
3,24810.06554462237,24867.79835862754,19757.731873794546,29491.69395687674,AR
1,11955.15929015673,11257.051659688412,5464.8270350687135,22349.942351602807,AZ
2,35558.70338554746,34401.07790675541,19096.553205589425,58671.391141521395,AZ
3,95307.53828763973,94513.82580297237,69823.4662242437,125192.43184188986,AZ
1,85638.7254873835,81804.37802785318,43436.74440703184,149238.13073139646,CA
2,354541.4857168508,352261.77647786814,227338.42979446784,495474.2198477953,CA
3,426364.06161224813,424731.4069585311,310143.80058936944,552283.1728561133,CA
1,8285.681713379667,7979.371869724255,4545.616984100036,13730.703675362134,CO
2,20475.425836031456,20174.593167253788,12938.349824182184,29658.649247243913,CO
3,75275.69438351002,75127.82724297758,63981.713868808285,87379.45498673606,CO
1,4400.781987499323,4287.041218318234,2546.8887956657823,6888.903341836208,CT
2,4206.870835066942,4041.2662860711885,2296.844967078455,7050.548633223941,CT
3,21319.233576816052,21267.412042554293,17435.69383184594,25515.86882887796,CT
1,22176.57109875983,21799.541052894227,12752.419302268905,33842.23903577818,DC
2,4921.135203760349,4586.276381445912,1958.3873057184064,9819.79247612823,DC
3,14877.619627414811,14468.180330425457,8075.714050434844,24007.12583413746,DC
1,3690.2149920062675,3595.5912070378436,2130.6553347255185,5792.477167790557,DE
2,5353.12269858434,4993.562503490999,1829.3565486612702,10891.201241937575,DE
3,12763.262518382946,12511.774449267148,7905.4037355193495,19114.666016629268,DE
1,97017.70251643528,95869.60071720192,64602.84895628869,135763.08177992722,FL
2,86270.48100874764,85039.81487823566,54862.510049196215,124948.52306245244,FL
3,279694.3284113901,279472.4724145859,238630.80579193713,322023.8099037772,FL
1,61181.269454026406,60947.90284804032,45277.350382993754,78570.02904151524,GA
2,23349.528137110992,22843.980614806766,13486.3454119298,36161.11355999039,GA
3,80681.68342726844,80516.59603275891,65785.87067853179,96474.67868901875,GA
1,1040.2668929181148,929.3743329007398,315.41165376484935,2396.463381756572,HI
2,13791.375250305304,13616.425749004862,7872.181748684499,20670.5969592163,HI
3,9023.773325304226,8834.61806287706,4203.6039833112345,14929.189562827161,HI
1,1739.9623886382017,1619.9084655589081,729.4083466541964,3437.476735161418,IA
2,4084.3166005437465,3828.920251437178,1335.4647620506935,8168.729932591592,IA
3,30887.606400518023,30954.753435198745,25899.732264945647,35560.425188450194,IA
1,181.97861181374077,165.91853858044732,72.17221446807825,382.8843346152105,ID
2,2644.5120691664115,2548.9440403544595,987.1140879581365,4878.071849442865,ID
3,16444.95329131869,16403.051789130783,13355.948396381566,19767.851612809354,ID
1,49827.092953014144,48467.458482310685,28195.011597082947,79155.5346109362,IL
2,45705.77432181479,44459.40240505934,26486.948319180097,72085.58458394867,IL
3,127773.00504852028,126660.09620818865,101334.6219878413,160482.61134724115,IL
1,13762.886075514805,13549.355416206305,8909.375861090015,19860.410505108463,IN
2,10585.914518218024,10289.839524358604,5913.492200380593,16822.85977665855,IN
3,69851.73656792955,69834.82998974959,61485.0342108723,78324.96486740283,IN
1,2211.4473367771293,2141.548285586227,1242.516307808535,3574.9577345425187,KS
2,4878.733317709158,4761.606236050765,2419.1494169752204,7975.688144781152,KS
3,24596.16345941052,24584.832590147904,20526.597798611925,28754.14193495687,KS
1,8018.872118130918,7840.2340258034965,4880.9670060588705,12135.936378773484,KY
2,6475.699273353613,6052.401355023656,3021.956877588922,12145.27256740941,KY
3,51819.55284722985,51868.05205619215,44481.02724033756,58848.45345625008,KY
1,17088.171744216077,16832.991332086138,9527.715590355972,26100.900217047834,LA
2,4925.683359012051,4627.896202872957,1793.9025329458855,9764.19958830193,LA
3,34922.03351588145,34969.07471744262,26024.476933529328,43536.19210228704,LA
1,15140.703535792654,14825.332641576719,9397.117801920813,22690.45495765848,MA
2,22809.08741865558,22161.638235878272,13301.169671148742,35968.981491003986,MA
3,96080.32047100723,96036.52181714508,80810.59718077074,111468.3796731085,MA
