mean,median,2.5%,97.5%,state
7893.0127,7827.9824,6435.462890625,9737.60517578125,AK
56192.957,56122.094,51535.85986328125,61301.873242187496,AL
33999.7,33938.867,30866.8615234375,37500.3095703125,AR
142821.4,141749.78,114474.4705078125,177182.45117187494,AZ
866544.4,864492.94,780503.89375,964955.4984375,CA
104036.79,103798.06,92814.206640625,116584.49824218749,CO
29926.885,29820.914,25937.66826171875,34567.3078125,CT
41975.324,41482.68,30302.0619140625,56495.873632812494,DC
21806.602,21515.96,16258.008251953124,29142.417431640617,DE
462982.5,462460.4,428880.33984375,499439.83749999997,FL
165212.48,164822.5,150958.350390625,181615.096484375,GA
23855.416,23655.135,18582.6091796875,30285.454833984375,HI
36711.887,36626.92,33366.61142578125,40518.398632812496,IA
19271.445,19184.486,16693.301025390625,22378.746826171875,ID
223305.88,221814.62,186282.888671875,268778.23749999993,IL
94200.53,93993.83,86166.441015625,103381.341015625,IN
31686.346,31603.121,28299.180078125,35529.5814453125,KS
66314.125,66152.984,60034.111328125,73475.01894531249,KY
56935.887,56862.656,52344.18955078125,61980.9751953125,LA
134030.12,133768.39,119730.288671875,149921.878515625,MA
93935.37,93790.11,84561.746484375,104149.69375,MD
24367.574,24271.957,20964.021533203126,28344.07612304687,ME
143794.58,143525.6,131193.025,157889.615625,MI
93797.055,93418.63,82201.6681640625,107580.451953125,MN
91279.016,91130.16,83137.8857421875,100251.40390625,MO
28446.674,28394.197,25997.77275390625,31215.25869140625,MS
11629.116,11586.872,10154.712060546875,13342.278247070311,MT
149443.03,149271.94,138210.52890625,161817.341015625,NC
9803.287,9676.461,7866.869604492187,12453.537133789063,ND
21771.33,21674.21,18798.537890625,25262.35498046875,NE
21576.941,21472.188,17995.844287109376,25758.152148437497,NH
142418.16,142253.55,130613.73515625,155171.522265625,NJ
31476.383,31333.336,26968.385693359374,36791.52236328124,NM
66622.664,66004.22,51529.60009765625,85162.01113281249,NV
436099.9,435349.25,396834.2765625,479536.6867187499,NY
183962.55,183702.55,169217.930078125,200329.16171875,OH
59806.09,59620.688,52689.0048828125,67980.2328125,OK
82603.305,82288.664,72158.1142578125,94840.95058593749,OR
202424.23,202041.38,185751.969921875,221066.45625,PA
23025.07,22835.225,18196.51474609375,28914.387451171875,RI
63542.3,63469.008,58410.00869140625,69066.9931640625,SC
8067.8804,8027.494,6983.441809082031,9397.581616210937,SD
99762.43,99575.69,90599.8205078125,110143.00429687499,TN
480402.22,479614.5,440021.14140625,525410.54375,TX
47864.457,47539.375,39500.50888671875,57918.232128906246,UT
134361.86,134246.42,125785.720703125,143607.70234375,VA
11625.636,11566.143,9641.04453125,13984.49130859375,VT
156365.66,155578.81,133458.205078125,183891.97773437496,WA
78924.234,78756.56,71716.1615234375,87069.41875,WI
22023.984,21972.438,19781.893212890624,24577.930957031247,WV
6311.902,6238.5615,5067.60546875,7977.176782226563,WY
