Category,demographic,value,male_pop,rate
Age,18-24,668365.0996999965,15469750,0.043204647760952605
Age,25-34,1532509.5262999958,23035736,0.06652748261657435
Age,35-44,913704.664699998,21889354,0.04174196573823046
Age,45-54,697996.4195000018,20376268,0.034255361163290636
Age,55+,1766202.4053000016,46080109,0.038328954588627416
Education,College,3046216.7893000017,113005193,0.026956431898665062
Education,Graduate,993004.0057999999,31362762,0.03166187996452608
Education,HS/GED,1256776.2710999998,59836489,0.021003509599301518
Education,Less HS,282781.04529999977,24230217,0.011670594832064432
Ethnicity,hisp,1250860.1556000025,31941775,0.03916063385957739
Ethnicity,nonhisp,4327917.954399992,132603312,0.032638083386635104
Income,<20K,795650.5017000021,14731168,0.054011365677182024
Income,"[20K, 40K)",712674.959000001,17566465,0.040570197760334874
Income,"[40K, 90K)",2076489.7152000002,45134210,0.04600700256413041
Income,"[90K, infty)",1993962.9351000004,50051022,0.039838605795102455
Race,black,933478.6003999999,19716762,0.04734441691795031
Race,other,1170627.165700003,40156704,0.02915147532277557
Race,white,3474672.3413000074,104671621,0.033195935136038524
