age,mean,median,q025,q975,state
1,1114.774143233533,1026.1079402958744,403.2347385506584,2317.7650636611497,AK
2,2089.8676575618215,2002.8903629173867,1022.6478028169951,3639.673693484397,AK
3,1599.1444248601344,1537.9424996537555,777.2689049262592,2762.9423557000055,AK
4,684.8533940433006,632.9823527545689,274.29143936911413,1390.038363008366,AK
5,2044.5655596224126,1981.9705164013958,1049.298970469514,3387.1052568455384,AK
1,8657.747593068225,8253.359484192748,4391.979820411369,15124.818683630914,AL
2,11999.556009487635,11603.807194895191,6785.166873577682,19416.376436613114,AL
3,10113.460373885635,9838.938522687436,5881.323914944507,15878.229236216384,AL
4,6167.874551954071,5918.835310739334,3319.191585842122,10428.791513885102,AL
5,15957.944675091643,15662.730722055425,9777.215146556135,23742.818848212202,AL
1,4832.094373597273,4440.798535973192,1785.6066600187833,10047.506848081095,AR
2,8070.510510122218,7656.322598983958,3802.5709255319807,14573.679295945769,AR
3,6990.684722597676,6695.566583375676,3338.5523421557787,12290.721929019403,AR
4,2929.319190237869,2726.0202202052587,1227.7033224921643,5799.595809701131,AR
5,10733.814683953213,10487.816599190644,5654.946588303592,17182.226487774373,AR
1,7862.788638960665,7422.076492304641,3985.539047943067,14302.898848656865,AZ
2,23489.720220897485,22948.365630225635,14279.802528537059,35623.924831708064,AZ
3,11182.507957998085,10700.878124636147,6174.563261025462,18904.13329962788,AZ
4,9279.83036823682,8850.161590352462,4941.140521561795,16043.375531560974,AZ
5,29856.01738450867,29274.541988436977,18954.89651015788,43906.35105160936,AZ
1,55161.87593313554,53185.780211773,31414.895188962204,90355.26475269078,CA
2,154281.68483242852,151488.91853632912,99417.28931652752,224476.0141732203,CA
3,79493.58541736427,76951.25467496345,48263.889236627496,125183.19762595223,CA
4,66624.48847303817,64402.02000561919,39249.464423883794,106699.2375521989,CA
5,164672.1010741311,161619.49173311266,106832.11332496266,239247.03316768174,CA
1,10818.438752104305,10496.316308680882,6216.455760437983,17208.886512493405,CO
2,22632.423021316125,22338.2703890865,15627.928776297184,31224.667309745542,CO
3,15533.136681939948,15314.150919642114,10263.034967376398,22091.25377157791,CO
