educ,mean,median,q025,q975,state
1,815.9345041969457,680.8029082621673,223.18283015890273,2190.79741856521,AK
2,3169.864482233981,3046.674349018924,1613.5002998560808,5388.06823643905,AK
3,8745.851437510206,8573.254541272998,5255.348239069853,13251.256927051965,AK
4,2201.9127788760366,2058.3519438533376,909.3147906469827,4252.626823249196,AK
1,9625.12257662192,8621.585234068887,3409.022439408669,21174.35808036487,AL
2,25607.320272063178,25042.527952850487,15952.462482826832,38557.07938683231,AL
3,57141.34541144067,56345.74561906113,39101.14189610124,79740.08783626204,AL
4,12624.294863761339,12007.410070192538,6489.927985053301,22148.861476874783,AL
1,6709.735217490366,5696.383514069434,1860.2625331375855,17090.525359040817,AR
2,17432.703903942274,16848.728187158325,9019.198937175053,29039.567436707814,AR
3,34313.16224914761,33709.32154327675,20170.077965392684,52102.07448374455,AR
4,8108.784228921176,7479.427320912105,3360.3171029212926,16332.390984501435,AR
1,8254.706764906043,7674.9537579496755,3788.907344417996,16161.380583905398,AZ
2,37118.59230914732,36232.94861531624,23287.64103776371,55976.508783091034,AZ
3,87634.67262020853,86609.9439326888,62111.02356752854,119155.84283813479,AZ
4,29139.754931637515,28198.514242829962,16000.761404213292,47751.66872178596,AZ
1,73722.14439137379,69411.04715160352,35935.812282321975,137402.17699677477,CA
2,207179.01130333648,202899.96097718136,135904.6611989021,302976.21132178884,CA
3,552257.7621479626,546951.2436947341,407657.00723745767,727540.8476974487,CA
4,199842.85960532265,194671.6325696722,119086.39431102965,309701.31104329217,CA
1,7051.990898710902,6490.583120562333,3126.531512434746,14203.920223851172,CO
2,26999.784423692086,26614.981140852648,18713.663267523258,37488.16972631848,CO
3,92666.99553987858,92055.57632089274,71184.3886123152,117436.97639270054,CO
4,31868.0674239084,31310.387745042095,20526.5147979254,46252.444280347634,CO
1,0.0,0.0,0.0,0.0,CT
2,0.0,0.0,0.0,0.0,CT
3,0.0,0.0,0.0,0.0,CT
4,0.0,0.0,0.0,0.0,CT
1,1155.4367793102238,1009.7262703458052,347.42217751619773,2804.4707160787057,DC
2,5943.240803303875,5705.09772388563,3047.4592208567515,10250.896474343323,DC
3,15750.534594606552,15350.308007159498,8844.696372941731,24928.01209846262,DC
4,20743.52676986543,20354.434257127155,12238.788883246685,31492.636945335842,DC
1,4077.4592584475345,3147.922710171437,866.5979098572458,12549.720581670525,DE
2,10841.573573451362,10233.831781963825,5824.292874116386,19307.178935810916,DE
3,23651.550925573138,23073.750493920943,13499.559992767716,36915.68704601537,DE
4,10390.159325273355,9491.630120625148,3624.2718023664133,21809.58533463954,DE
1,38061.208195881714,36192.615653790854,18941.41101576648,67917.12404956303,FL
2,167257.588493975,165317.36119425116,119886.09010239436,225351.50798086822,FL
3,375212.15345138265,372182.9189411236,288230.0017458772,479594.1389184493,FL
4,91512.44833211128,89833.82805307372,59227.17854701355,133710.9084474978,FL
1,19679.961137779832,18015.769930945873,7745.938256895062,40617.21971676262,GA
2,61638.957947702285,60744.43741385896,42051.551395180446,86331.22512852728,GA
3,152941.28102625968,151878.95564610296,115307.1702344591,196640.1193597383,GA
4,44043.728888914186,42988.41615306339,27588.256116815144,66463.72026257956,GA
1,2323.719684140099,1995.0964973166203,706.101117657986,5873.332414993527,HI
2,8824.863804464923,8470.412259375378,4508.532392395354,15133.88960231291,HI
3,25880.284421255288,25330.70936797531,15585.545489914099,39339.254136704236,HI
