ethn,mean,median,q025,q975,state
1,131.79756491815724,111.99718514691583,40.363000260077825,339.6281736918659,AK
2,7401.407614403045,7264.348641745818,5221.476536153806,10364.578471363418,AK
1,1252.4599343474158,1181.0800075977488,615.775556073071,2285.8290602245957,AL
2,51644.123269139796,51015.960806820585,39980.1026086226,66733.22130592033,AL
1,752.3004781538096,649.2948527178125,250.5054021144399,1858.8101968794522,AR
2,32804.12300235444,32341.94715503078,24267.927853893987,43910.42788428148,AR
1,31214.27563633348,30661.51115512912,19183.676055228996,46267.371935833726,AZ
2,50456.58893426824,49923.74174225931,36352.710242212175,67837.82658574465,AZ
1,218680.696941635,215932.023446988,147624.0745419507,305338.8376424466,CA
2,301553.03878846264,298728.5876973084,225120.66479060968,395092.4906075827,CA
1,15077.895432311234,14852.046445414504,10008.167076939222,21301.21114794005,CO
2,64723.54155876944,64312.09299696649,52390.12986212934,79289.16331266316,CO
1,0.0,0.0,0.0,0.0,CT
2,0.0,0.0,0.0,0.0,CT
1,4258.8030172031495,4091.6392017659696,2126.734775831835,7338.736789956618,DC
2,17700.415415556214,17484.37305614081,12403.465469302158,24257.94579797516,DC
1,1112.9691334983538,1045.789505424654,539.0776400292903,2063.3819515768146,DE
2,23469.32462900708,23264.44644448629,18249.00363205483,29802.70564765655,DE
1,83346.52508628547,82325.72007032715,58059.67253856337,113972.75453390062,FL
2,255072.02990159584,252996.4532326237,200236.1840496282,322124.6758626632,FL
1,12720.837193272695,12211.289559343626,7103.761333292708,21185.199620440795,GA
2,127186.31820635345,126557.06585605719,104365.95466591432,153459.9323373784,GA
1,512.3564832638243,440.8358240398119,171.95478237622754,1276.2419956497986,HI
2,21695.10631594213,21289.804757887432,15046.472669519047,30680.080110104867,HI
1,556.8575510507571,481.2341119752708,195.81884498007395,1364.0655675731668,IA
2,35334.22252648318,34784.56938017543,25920.19223779693,47739.42655545432,IA
1,568.6125132683862,494.83156802938856,194.2532674040933,1376.193519991179,ID
2,17430.88823054981,17101.921302681403,12260.562656986183,24443.38313001324,ID
1,36240.94269039909,35662.95083768566,22996.335676063758,52758.67889685839,IL
2,120462.22135587221,119936.2755835341,98392.7118819754,145638.53548930463,IL
1,5381.162468074612,5252.394709736762,3328.156070572413,8124.015431231844,IN
2,75466.89150767529,74981.62600759065,61812.94817019967,91890.17370165147,IN
1,1819.196604763155,1744.3469801723595,971.4870296846608,3084.1853228092077,KS
2,28872.456423283988,28616.462698809206,22866.13883580339,36287.84928210329,KS
1,2050.8722632360013,1993.0138283833717,1224.0459489385457,3190.1095630447608,KY
2,57982.42982578789,57629.32150757466,47478.627932052084,70479.82620544311,KY
1,1041.798173744307,882.8755661870614,290.66519903815384,2726.3686924027415,LA
2,49248.2416986162,48128.39055924965,33171.32507882766,71438.21072097987,LA
1,13150.303601271713,12747.138126318165,7978.964837073145,20589.477593929725,MA
2,96045.50153238786,95383.04616945976,75503.37181191024,120432.37673571569,MA
1,9735.414638840315,9239.483157723038,4786.2499577651615,17426.27496664814,MD
2,70851.42463845242,70306.02695618999,55095.357871577835,89836.40801298535,MD
1,107.41050840386376,91.68883580994225,36.17502836597084,271.6307294422272,ME
2,24079.268793099174,23723.585300412728,17652.547721333493,32491.841768653605,ME
