income,mean,median,q025,q975,state
1,1127.7260388973946,1057.6852942492606,482.8633715334756,2182.8860418348568,AK
2,973.6781766258764,896.5637225421104,353.638834814733,2016.4880318212333,AK
3,2598.6427827036955,2521.1498146490953,1360.486976811432,4271.668880347139,AK
4,2833.1581810942357,2752.3846907944794,1343.0301242558673,4790.267249104905,AK
1,11333.248869057825,10921.156191648826,6088.879895799502,18915.62455980726,AL
2,9831.044732004717,9495.171163237956,4782.610988380192,16751.042469219778,AL
3,18351.787404423303,18030.9197692663,11656.771277461368,26786.06591539804,AL
4,13380.502198001363,12960.693187703893,7460.2101063385035,21553.166381179246,AL
1,6717.766705875547,6398.272268665332,3216.740876159509,12007.842440245537,AR
2,7456.94258951176,7113.103642033031,2978.9278859448723,13783.220299731229,AR
3,11878.676683458769,11584.530759646346,6495.572286459542,18888.67428937864,AR
4,7503.037501662173,7045.609004337421,3080.9759747964827,14375.497070950943,AR
1,10021.772733128926,9599.908380649782,5448.447323462331,17023.677312929238,AZ
2,10787.007621237213,10145.46371645713,5155.767556106329,20103.64548059994,AZ
3,34536.20449031287,33936.68276672187,21937.52593696051,50570.08071183181,AZ
4,26325.879725922714,25593.18664089488,14460.235744087835,42286.77546421995,AZ
1,63083.93942660159,60674.10789578759,34784.03813156632,105157.39531929688,CA
2,57547.519967958724,54369.90495156309,28796.98891454015,104500.0976494212,CA
3,178509.70636658135,175274.49051771313,114977.94684409296,260394.08760637275,CA
4,221092.56996895597,217784.37078553502,142368.80185376707,318633.66329396196,CA
1,9232.775146677935,8943.368586756103,5305.711315538114,14805.998822656322,CO
2,9553.288523929363,9239.352411876553,5122.800469911585,15668.924287390755,CO
3,28249.35924507512,27982.094503602784,19937.97815862137,38085.271350541414,CO
4,32766.01407539825,32511.258860580092,22896.991826236655,44270.0102621719,CO
1,0.0,0.0,0.0,0.0,CT
2,0.0,0.0,0.0,0.0,CT
3,0.0,0.0,0.0,0.0,CT
4,0.0,0.0,0.0,0.0,CT
1,2991.251836632401,2772.3752961555133,1129.1339157418652,6076.164765300233,DC
2,1891.5168573977674,1703.0818288343396,607.6851556335552,4268.522263335426,DC
3,7088.312280886818,6865.083079680339,3626.1534035245477,11877.598791018192,DC
4,9988.137457842377,9757.607084315394,5190.580335867648,16060.33251676462,DC
1,1891.5473043667937,1754.0008553242535,862.1296278422349,3715.99506919182,DE
2,4200.701840821073,3751.4450098971206,1358.4291184877047,9463.922852805668,DE
3,9072.325392099532,8771.94691510481,4627.203579051407,15193.295983224836,DE
4,9417.719225218036,8995.71852677398,4311.317980123832,16605.38250613029,DE
1,55492.930950205766,53913.66418603246,32417.599378537987,87342.18793130876,FL
2,49786.31806804803,48434.86694779818,28863.865998019275,78210.85500779093,FL
3,131295.81319519607,130051.58083620301,94823.33280330147,174819.38306042904,FL
4,101843.49277443146,100544.82788160956,67986.09777051743,142963.30132831144,FL
1,19440.223694791875,18824.10713211503,11305.194033387761,31135.929236840442,GA
2,21022.92227157895,20317.368538314433,11088.940713725346,35000.49830137904,GA
3,50900.34952778081,50357.70863819322,35414.0242114236,69579.70582053071,GA
4,48543.65990547451,47922.74309450909,32036.815944920338,68541.25950632746,GA
1,3561.743913297492,3337.9331871951117,1523.8161178079959,6869.559729225988,HI
2,2775.6536892780023,2565.1191317877874,1026.0978029002551,5691.316282782575,HI
3,7062.901184321087,6842.190818986672,3664.310426199784,11732.467536061871,HI
4,8807.160413933423,8550.739594756342,4314.318068149646,14808.062548193191,HI
1,5802.3671949941145,5489.196790670949,2630.5337295635454,10776.73847476023,IA
2,6209.4521070247265,5810.439212083655,2343.028437891524,12239.765427556205,IA
3,13311.556506906709,13001.50001006233,7193.048751758006,21160.104463666576,IA
4,10567.70426860839,10126.927012840792,4575.266157922273,18914.648273395575,IA
1,2874.6202387347676,2705.0576479871393,1267.5417433982382,5467.871409228825,ID
2,2969.7139034694846,2806.057946699771,1191.0481485698522,5644.52617637314,ID
3,6941.075670849593,6760.453806988464,3857.9477457627845,11062.219510171808,ID
4,5214.09093076435,5010.364132479029,2361.5605024407864,9253.781357493694,ID
1,19980.24285820719,19434.170250166877,11778.336597241689,31242.592813920804,IL
