ST_ABBREV,Category,demographic,value,male_pop,rate
AK,Age,18-24,1148.5084,38639,0.029724072
AK,Age,25-34,2207.5066,61256,0.036037394
AK,Age,35-44,1548.8791,53316,0.029050925
AK,Age,45-54,835.1256,44827,0.018629969
AK,Age,55+,2036.3807,95723,0.021273682
AK,Education,College,4826.8623,258204,0.018693987
AK,Education,Graduate,1028.6899,56639,0.018162219
AK,Education,HS/GED,1609.2796,141206,0.01139668
AK,Education,Less HS,311.5678,31854,0.00978112
AK,Ethnicity,hisp,135.4622,27521,0.004922139
AK,Ethnicity,nonhisp,7640.9378,357798,0.021355451
AK,Income,<20K,1297.2163,24647,0.052631813
AK,Income,"[20K, 40K)",861.033,28578,0.030129225
AK,Income,"[40K, 90K)",2712.7547,94918,0.028579982
AK,Income,"[90K, infty)",2905.3961,119722,0.024267855
AK,Race,black,332.2404,12970,0.025616068
AK,Race,other,2058.7527,134013,0.015362336
AK,Race,white,5385.4072,238336,0.022595861
AL,Age,18-24,9019.6305,238711,0.037784729
AL,Age,25-34,12582.6641,320685,0.039236834
AL,Age,35-44,10096.3982,303517,0.033264688
AL,Age,45-54,7198.2062,303401,0.023725058
AL,Age,55+,16509.7909,711177,0.023214742
AL,Education,College,31834.5098,1620452,0.019645451
AL,Education,Graduate,6224.3035,372095,0.016727727
AL,Education,HS/GED,13437.247,1046374,0.012841725
AL,Education,Less HS,3910.6299,409381,0.009552544
AL,Ethnicity,hisp,1262.6477,141516,0.008922296
AL,Ethnicity,nonhisp,54144.0423,2311903,0.023419686
AL,Income,<20K,12955.2659,309284,0.041887928
AL,Income,"[20K, 40K)",9255.5341,344126,0.026895771
AL,Income,"[40K, 90K)",19494.658,736443,0.026471374
AL,Income,"[90K, infty)",13701.2319,579252,0.023653318
AL,Race,black,14028.0768,615094,0.022806395
AL,Race,other,4386.9959,215550,0.020352567
AL,Race,white,36991.6169,1622775,0.022795284
AR,Age,18-24,4743.2414,144673,0.032785948
AR,Age,25-34,8125.5004,196731,0.041302593
AR,Age,35-44,6577.0296,191314,0.034378193
AR,Age,45-54,3569.5927,178826,0.019961262
AR,Age,55+,10433.3761,422961,0.024667466
AR,Education,College,18484.1267,918548,0.020123202
AR,Education,Graduate,3790.9724,188596,0.020101022
AR,Education,HS/GED,8609.5729,702778,0.012250772
AR,Education,Less HS,2564.0679,233857,0.010964256
AR,Ethnicity,hisp,775.9901,138259,0.005612583
AR,Ethnicity,nonhisp,32672.7499,1357699,0.024064796
AR,Income,<20K,7613.7002,185127,0.041126903
AR,Income,"[20K, 40K)",6640.6929,229086,0.028987773
AR,Income,"[40K, 90K)",12030.0573,458214,0.026254233
AR,Income,"[90K, infty)",7164.2887,316733,0.022619331
AR,Race,black,4112.5392,215122,0.019117241
AR,Race,other,4410.5984,219512,0.020092744
AR,Race,white,24925.602,1061324,0.023485384
AZ,Age,18-24,12150.8615,352460,0.034474441
AZ,Age,25-34,42031.826,516663,0.081352499
AZ,Age,35-44,18363.7338,467279,0.039299292
AZ,Age,45-54,15883.4096,425324,0.037344259
AZ,Age,55+,52690.1895,1051947,0.050088255
AZ,Education,College,76860.6803,2646485,0.029042553
AZ,Education,Graduate,26151.0375,627927,0.041646621
AZ,Education,HS/GED,32107.7157,1171693,0.02740284
AZ,Education,Less HS,6000.5866,544528,0.011019794
AZ,Ethnicity,hisp,56992.9123,1137644,0.050097317
AZ,Ethnicity,nonhisp,84127.1077,2491050,0.033771746
AZ,Income,<20K,15917.7067,301181,0.052850966
AZ,Income,"[20K, 40K)",17284.0841,380757,0.045394002
AZ,Income,"[40K, 90K)",61511.2748,1064113,0.057805209
AZ,Income,"[90K, infty)",46406.9544,1050739,0.044166015
AZ,Race,black,11378.0846,174887,0.065059636
AZ,Race,other,34309.4721,1167642,0.029383554
AZ,Race,white,95432.4633,2286165,0.041743471
CA,Age,18-24,78100.0403,1830374,0.042668897
CA,Age,25-34,267136.1488,2995085,0.089191508
CA,Age,35-44,124069.7637,2759655,0.044958433
CA,Age,45-54,106471.3091,2485740,0.042832842
CA,Age,55+,281386.9388,5064849,0.055556827
CA,Education,College,457410.2991,13497105,0.033889512
CA,Education,Graduate,173221.2623,3798752,0.045599519
CA,Education,HS/GED,172730.9197,5496195,0.031427364
CA,Education,Less HS,53801.719,4149146,0.012966938
CA,Ethnicity,hisp,383786.2371,7881425,0.048695031
CA,Ethnicity,nonhisp,473377.9629,11724457,0.040375257
CA,Income,<20K,97444.3241,1321038,0.073763453
CA,Income,"[20K, 40K)",88548.3249,1484833,0.059635208
CA,Income,"[40K, 90K)",301499.4537,4118526,0.07320567
CA,Income,"[90K, infty)",369672.098,6510450,0.056781344
CA,Race,black,81898.7768,1086188,0.075400186
CA,Race,other,349771.0965,9863427,0.035461417
CA,Race,white,425494.3267,8656267,0.049154483
CO,Age,18-24,12443.6273,277335,0.044868579
CO,Age,25-34,31760.6409,474257,0.066969261
CO,Age,35-44,18578.0857,435868,0.042623193
CO,Age,45-54,12528.6435,365491,0.034278938
CO,Age,55+,27492.1134,754014,0.036461012
CO,Education,College,60779.4131,2246484,0.027055351
CO,Education,Graduate,21346.6619,688581,0.031000945
CO,Education,HS/GED,17151.0183,811023,0.021147388
CO,Education,Less HS,3526.0165,292446,0.012056983
CO,Ethnicity,hisp,22763.9803,660032,0.034489207
CO,Ethnicity,nonhisp,80039.1297,2282536,0.035065878
CO,Income,<20K,11812.9807,203610,0.058017684
CO,Income,"[20K, 40K)",10807.8773,254294,0.042501503
CO,Income,"[40K, 90K)",37701.111,789589,0.047747766
CO,Income,"[90K, infty)",42481.1402,1078083,0.039404332
CO,Race,black,7930.8793,123012,0.064472404
CO,Race,other,19435.1094,665347,0.029210486
CO,Race,white,75437.1215,2154209,0.035018478
CT,Age,18-24,3589.2089,169387,0.0211894
CT,Age,25-34,7407.6793,228211,0.032459782
CT,Age,35-44,4204.3769,224172,0.018755138
CT,Age,45-54,4055.9054,226021,0.017944817
CT,Age,55+,10320.0794,542512,0.019022767
CT,Education,College,15485.628,1185742,0.013059863
CT,Education,Graduate,6301.9811,480468,0.013116339
CT,Education,HS/GED,6601.3816,647094,0.010201581
CT,Education,Less HS,1188.2595,219549,0.005412275
CT,Ethnicity,hisp,4183.5534,318347,0.013141488
CT,Ethnicity,nonhisp,25393.6966,1446770,0.017551993
CT,Income,<20K,5257.3272,145546,0.036121413
CT,Income,"[20K, 40K)",3109.8476,161434,0.019263895
CT,Income,"[40K, 90K)",9852.8356,442296,0.022276565
CT,Income,"[90K, infty)",11357.2394,670894,0.016928515
CT,Race,black,4223.7787,184460,0.022898074
CT,Race,other,3874.025,389119,0.009955888
CT,Race,white,21479.4463,1191538,0.018026657
DC,Age,18-24,2542.6091,27793,0.091483794
DC,Age,25-34,17650.8448,70095,0.251813179
DC,Age,35-44,6147.1517,54415,0.112967963
DC,Age,45-54,3975.2326,36213,0.109773634
DC,Age,55+,11197.8618,67751,0.165279653
DC,Education,College,14988.0553,197834,0.075760766
DC,Education,Graduate,19950.2863,181599,0.10985901
DC,Education,HS/GED,5585.2599,70322,0.079424076
DC,Education,Less HS,990.0985,34651,0.028573447
DC,Ethnicity,hisp,7868.9948,39183,0.200826757
DC,Ethnicity,nonhisp,33644.7052,280818,0.119809646
DC,Income,<20K,5477.7067,41670,0.131454444
DC,Income,"[20K, 40K)",3361.0988,26573,0.126485485
DC,Income,"[40K, 90K)",13527.4818,84429,0.160223167
DC,Income,"[90K, infty)",19147.4127,168884,0.11337612
DC,Race,black,22187.6158,131947,0.168155515
DC,Race,other,4652.989,56814,0.081898634
DC,Race,white,14673.0951,131240,0.111803529
DE,Age,18-24,2780.1133,42587,0.065280797
DE,Age,25-34,4026.2378,63816,0.063091353
DE,Age,35-44,4302.0996,59518,0.072282328
DE,Age,45-54,1757.5551,56651,0.031024256
DE,Age,55+,8533.0442,158208,0.053935605
DE,Education,College,11064.7517,336819,0.032850735
DE,Education,Graduate,4104.7755,106287,0.038619732
DE,Education,HS/GED,4925.7679,206192,0.023889229
DE,Education,Less HS,1303.7549,61144,0.021322696
DE,Ethnicity,hisp,1095.4269,54860,0.01996768
DE,Ethnicity,nonhisp,20303.6231,432725,0.046920384
DE,Income,<20K,1770.2306,38166,0.046382398
DE,Income,"[20K, 40K)",3230.889,50062,0.064537753
DE,Income,"[40K, 90K)",8115.769,145722,0.055693505
DE,Income,"[90K, infty)",8282.1615,162259,0.051042848
DE,Race,black,3622.6987,103699,0.034934751
DE,Race,other,4991.5812,81640,0.061141367
DE,Race,white,12784.7701,302246,0.04229922
FL,Age,18-24,52543.4032,900185,0.058369561
FL,Age,25-34,111505.8127,1408867,0.079145734
FL,Age,35-44,69212.3807,1374380,0.050358984
FL,Age,45-54,62879.677,1349833,0.046583301
FL,Age,55+,161819.6971,3538836,0.045726814
FL,Education,College,255963.6862,7881892,0.032474904
FL,Education,Graduate,64997.7248,1978568,0.032850893
FL,Education,HS/GED,115474.768,4346402,0.026567899
FL,Education,Less HS,21524.7908,1643437,0.013097424
FL,Ethnicity,hisp,128531.856,2914033,0.044107893
FL,Ethnicity,nonhisp,329429.114,7859587,0.041914303
FL,Income,<20K,72588.074,1006348,0.072130192
FL,Income,"[20K, 40K)",63628.616,1307068,0.048680418
FL,Income,"[40K, 90K)",184856.7695,3262652,0.056658439
FL,Income,"[90K, infty)",136887.5108,2974843,0.046015037
FL,Race,black,94615.1423,1627699,0.058128157
FL,Race,other,82425.7302,2671768,0.030850632
FL,Race,white,280920.0973,6474153,0.043391019
GA,Age,18-24,25891.6975,522435,0.049559653
GA,Age,25-34,41213.9634,734837,0.056085858
GA,Age,35-44,30264.2756,701484,0.043143216
GA,Age,45-54,23208.5539,684073,0.033927013
GA,Age,55+,42652.229,1340095,0.031827765
GA,Education,College,92092.8524,3523705,0.026135233
GA,Education,Graduate,27770.8034,977333,0.028414884
GA,Education,HS/GED,34859.0588,1950698,0.017870044
GA,Education,Less HS,8508.0043,801324,0.010617434
GA,Ethnicity,hisp,15447.3534,599936,0.025748335
GA,Ethnicity,nonhisp,147783.3666,4681826,0.031565327
GA,Income,<20K,23060.434,490064,0.047055964
GA,Income,"[20K, 40K)",21673.3527,582733,0.037192595
GA,Income,"[40K, 90K)",60564.9252,1465721,0.04132091
GA,Income,"[90K, infty)",57932.0082,1469495,0.039423073
GA,Race,black,60946.5671,1586482,0.038416173
GA,Race,other,21692.6284,883956,0.024540394
GA,Race,white,80591.5245,2811324,0.028666751
HI,Age,18-24,3044.0429,64335,0.047315503
HI,Age,25-34,5731.2515,100870,0.056818197
HI,Age,35-44,4318.7415,97461,0.04431251
HI,Age,45-54,2791.7441,86535,0.032261445
HI,Age,55+,7634.21,222669,0.034285015
HI,Education,College,14583.7285,546832,0.026669486
HI,Education,Graduate,3308.7925,133757,0.024737341
HI,Education,HS/GED,4657.4278,273812,0.017009582
HI,Education,Less HS,970.0414,72950,0.013297346
HI,Ethnicity,hisp,519.9247,73085,0.007113973
HI,Ethnicity,nonhisp,23000.0653,654388,0.035147444
HI,Income,<20K,4106.7789,43776,0.09381348
HI,Income,"[20K, 40K)",2514.7898,48594,0.051751035
HI,Income,"[40K, 90K)",7496.9022,156037,0.04804567
HI,Income,"[90K, infty)",9401.5191,240584,0.039077907
HI,Race,black,962.7135,17489,0.055046801
HI,Race,other,13835.3579,534404,0.025889323
HI,Race,white,8721.9186,175580,0.049674898
IA,Age,18-24,5351.0051,164268,0.032574848
IA,Age,25-34,8469.1475,203216,0.041675594
IA,Age,35-44,7067.8766,206985,0.034146806
IA,Age,45-54,3862.4081,184744,0.020906812
IA,Age,55+,11380.0836,464509,0.024499167
IA,Education,College,22433.4219,1126169,0.01992012
IA,Education,Graduate,4344.6786,219219,0.019818896
IA,Education,HS/GED,7799.8037,649969,0.01200027
IA,Education,Less HS,1552.6166,145119,0.01069892
IA,Ethnicity,hisp,560.1971,116629,0.00480324
IA,Ethnicity,nonhisp,35570.3229,1484824,0.023955919
IA,Income,<20K,6686.2747,141122,0.047379393
IA,Income,"[20K, 40K)",5514.274,192731,0.028611246
IA,Income,"[40K, 90K)",13595.3235,516944,0.026299413
IA,Income,"[90K, infty)",10334.6475,452966,0.022815504
IA,Race,black,1624.5388,66761,0.02433365
IA,Race,other,3541.7199,173268,0.020440704
IA,Race,white,30964.261,1361424,0.022744025
ID,Age,18-24,2644.2635,93228,0.028363405
ID,Age,25-34,4655.8304,125263,0.037168441
ID,Age,35-44,3603.4073,125241,0.028771786
ID,Age,45-54,2347.3658,109423,0.021452216
ID,Age,55+,5720.2131,261113,0.021907041
ID,Education,College,12305.2525,688982,0.017860049
ID,Education,Graduate,2190.9762,129194,0.016958808
ID,Education,HS/GED,3552.1908,322573,0.011012052
ID,Education,Less HS,922.6608,103570,0.008908572
ID,Ethnicity,hisp,584.8787,130156,0.004493675
ID,Ethnicity,nonhisp,18386.2013,821924,0.02236971
ID,Income,<20K,3347.9668,66130,0.05062705
ID,Income,"[20K, 40K)",2765.5693,100727,0.027456087
ID,Income,"[40K, 90K)",7473.7771,285575,0.026170978
ID,Income,"[90K, infty)",5383.7664,241389,0.02230328
ID,Race,black,166.9693,8378,0.019929494
ID,Race,other,2387.8907,153410,0.015565418
ID,Race,white,16416.2198,790292,0.020772347
IL,Age,18-24,24669.1069,583529,0.042275717
IL,Age,25-34,61726.5498,867629,0.071143945
IL,Age,35-44,35229.666,846410,0.04162246
IL,Age,45-54,27101.4479,793707,0.034145406
IL,Age,55+,72020.849,1743512,0.041307917
IL,Education,College,116340.5456,4379443,0.026565147
IL,Education,Graduate,44350.0746,1300295,0.034107702
IL,Education,HS/GED,50286.6944,2207546,0.022779455
IL,Education,Less HS,9770.3056,851323,0.011476614
IL,Ethnicity,hisp,61018.5517,1200588,0.050823889
IL,Ethnicity,nonhisp,159729.0683,5069811,0.031505922
IL,Income,<20K,28534.5146,576312,0.049512269
IL,Income,"[20K, 40K)",27939.193,655923,0.042595233
IL,Income,"[40K, 90K)",83613.9834,1722963,0.048529181
IL,Income,"[90K, infty)",80659.9302,2046706,0.039409632
IL,Race,black,48882.6162,821650,0.059493235
IL,Race,other,43614.7695,1466742,0.029735816
IL,Race,white,128250.2335,3982007,0.032207435
IN,Age,18-24,14050.8784,336211,0.041791846
IN,Age,25-34,23214.811,449660,0.051627476
IN,Age,35-44,16663.9108,431520,0.038616775
IN,Age,45-54,11492.8439,412870,0.027836471
IN,Age,55+,27506.4557,927987,0.029640992
IN,Education,College,50662.4112,2139790,0.023676347
IN,Education,Graduate,11491.7033,477649,0.024058887
IN,Education,HS/GED,25846.1068,1496214,0.017274338
IN,Education,Less HS,4928.6774,445651,0.0110595
IN,Ethnicity,hisp,7652.2047,293768,0.026048462
IN,Ethnicity,nonhisp,85276.6953,3083243,0.027658117
IN,Income,<20K,14738.0651,310437,0.047475221
IN,Income,"[20K, 40K)",14320.4167,427626,0.033488181
IN,Income,"[40K, 90K)",37593.5508,1066438,0.035251511
IN,Income,"[90K, infty)",26276.868,877036,0.029960991
IN,Race,black,13394.4005,305737,0.043810205
IN,Race,other,9541.8268,423494,0.022531197
IN,Race,white,69992.6725,2647780,0.026434474
KS,Age,18-24,5560.9879,157440,0.035321315
KS,Age,25-34,6955.8827,192669,0.03610276
KS,Age,35-44,6285.3836,191630,0.03279958
KS,Age,45-54,3698.6592,167921,0.022026186
KS,Age,55+,8747.5178,401805,0.021770555
KS,Education,College,19375.7205,1027447,0.018858122
KS,Education,Graduate,4265.4371,254136,0.016784073
KS,Education,HS/GED,6157.9811,495115,0.012437476
KS,Education,Less HS,1449.2916,156595,0.009255031
KS,Ethnicity,hisp,1852.8523,201615,0.009190052
KS,Ethnicity,nonhisp,29395.5777,1272040,0.023109004
KS,Income,<20K,5054.2855,126396,0.039987701
KS,Income,"[20K, 40K)",4632.6387,174944,0.026480695
KS,Income,"[40K, 90K)",11678.1014,454021,0.025721501
KS,Income,"[90K, infty)",9883.4044,405354,0.024382156
KS,Race,black,2097.6421,84713,0.02476175
KS,Race,other,4473.241,248726,0.017984614
KS,Race,white,24677.5462,1140216,0.02164287
KY,Age,18-24,8242.9031,210508,0.039157196
KY,Age,25-34,16312.8062,300180,0.054343415
KY,Age,35-44,12321.5526,283105,0.043522907
KY,Age,45-54,6852.2208,280868,0.024396588
KY,Age,55+,21522.6788,634607,0.033914972
KY,Education,College,33852.1301,1377462,0.024575727
KY,Education,Graduate,9970.9241,341014,0.029239046
KY,Education,HS/GED,17002.754,1006715,0.016889342
KY,Education,Less HS,4426.3519,352966,0.012540448
KY,Ethnicity,hisp,3090.3712,113097,0.027324962
KY,Ethnicity,nonhisp,62161.7888,2120773,0.029310911
KY,Income,<20K,10914.0332,279349,0.039069527
KY,Income,"[20K, 40K)",11767.2917,307302,0.038292272
KY,Income,"[40K, 90K)",25569.4335,683423,0.037413774
KY,Income,"[90K, infty)",17001.4014,521917,0.032574914
KY,Race,black,7747.8384,177486,0.043653237
KY,Race,other,5608.5911,193034,0.029054939
KY,Race,white,51895.7305,1863350,0.027850769
LA,Age,18-24,8177.4889,213652,0.038274806
LA,Age,25-34,14281.5296,307904,0.04638306
LA,Age,35-44,10096.9378,302077,0.033425047
LA,Age,45-54,7424.941,262620,0.028272565
LA,Age,55+,16216.253,620080,0.026151872
LA,Education,College,31721.027,1386607,0.022876725
LA,Education,Graduate,5783.2527,304126,0.019015976
LA,Education,HS/GED,14240.4682,1012121,0.014069927
LA,Education,Less HS,4452.4023,407400,0.010928823
LA,Ethnicity,hisp,1094.0255,169736,0.006445454
LA,Ethnicity,nonhisp,55103.1245,2093086,0.026326259
LA,Income,<20K,18429.8721,315860,0.058348231
LA,Income,"[20K, 40K)",8737.9459,314128,0.027816514
LA,Income,"[40K, 90K)",17200.2199,628552,0.027364832
LA,Income,"[90K, infty)",11829.1126,524628,0.02254762
LA,Race,black,16829.9154,680759,0.024722281
LA,Race,other,4342.6995,256061,0.016959629
LA,Race,white,35024.5355,1326002,0.026413637
MA,Age,18-24,22348.38,335606,0.066591122
MA,Age,25-34,33025.1504,493973,0.066856185
MA,Age,35-44,21836.3223,445530,0.049012013
MA,Age,45-54,19247.0575,430909,0.044666177
MA,Age,55+,36181.0098,1009286,0.035848124
MA,Education,College,72629.5228,2334360,0.031113249
MA,Education,Graduate,27628.9844,1056259,0.026157395
MA,Education,HS/GED,27246.5339,1129802,0.024116203
MA,Education,Less HS,5132.8793,425209,0.012071427
MA,Ethnicity,hisp,17700.2832,449530,0.039375088
MA,Ethnicity,nonhisp,114937.6368,2967235,0.038735603
MA,Income,<20K,19666.4512,294517,0.066775267
MA,Income,"[20K, 40K)",12531.2218,290185,0.043183562
MA,Income,"[40K, 90K)",38914.584,780286,0.049872206
MA,Income,"[90K, infty)",61525.6628,1397082,0.044038691
MA,Race,black,14577.8835,240520,0.06060986
MA,Race,other,21486.0916,765704,0.028060571
MA,Race,white,96573.9447,2410541,0.040063183
MD,Age,18-24,15428.5007,263210,0.058616697
MD,Age,25-34,21014.1652,405872,0.051775351
MD,Age,35-44,17550.1624,407208,0.043098766
MD,Age,45-54,14005.5478,383855,0.036486558
MD,Age,55+,24979.0341,839358,0.02975969
MD,Education,College,50836.2284,2009817,0.025293959
MD,Education,Graduate,17110.8327,866120,0.01975573
MD,Education,HS/GED,21155.9755,1014175,0.020860281
MD,Education,Less HS,3874.374,382701,0.010123762
MD,Ethnicity,hisp,11047.3738,384424,0.028737472
MD,Ethnicity,nonhisp,81930.0362,2617655,0.03129902
MD,Income,<20K,9483.5844,210260,0.045104083
MD,Income,"[20K, 40K)",8900.6292,228149,0.039012352
MD,Income,"[40K, 90K)",30565.0778,711317,0.0429697
MD,Income,"[90K, infty)",44028.1186,1189784,0.037005136
MD,Race,black,35099.9111,854838,0.041060307
MD,Race,other,13551.7756,637210,0.021267362
MD,Race,white,44325.7233,1510031,0.029354181
ME,Age,18-24,2724.5739,55916,0.048726195
ME,Age,25-34,5247.9596,83465,0.062876171
ME,Age,35-44,4330.0009,82166,0.052698207
ME,Age,45-54,2597.245,85396,0.030414129
ME,Age,55+,9053.331,241869,0.037430721
ME,Education,College,14098.1455,514746,0.027388548
ME,Education,Graduate,3873.2772,135610,0.028561885
ME,Education,HS/GED,5157.0045,310243,0.016622469
ME,Education,Less HS,824.6824,56031,0.014718324
ME,Ethnicity,hisp,107.4814,14515,0.00740485
ME,Ethnicity,nonhisp,23845.6286,663848,0.035920314
ME,Income,<20K,4269.3784,68488,0.062337612
ME,Income,"[20K, 40K)",3853.4136,90823,0.042427729
ME,Income,"[40K, 90K)",8696.4813,223788,0.038860356
ME,Income,"[90K, infty)",7133.8368,205986,0.034632629
ME,Race,black,479.9419,13003,0.03691009
ME,Race,other,1696.2419,46832,0.036219719
ME,Race,white,21776.9266,618528,0.035207665
MI,Age,18-24,19494.3504,474109,0.041117866
MI,Age,25-34,34834.7949,669796,0.052008066
MI,Age,35-44,22826.4189,607159,0.037595455
MI,Age,45-54,17923.794,613007,0.029239134
MI,Age,55+,46858.9309,1512431,0.030982525
MI,Education,College,81421.3538,3568419,0.022817207
MI,Education,Graduate,20110.294,869593,0.023126099
MI,Education,HS/GED,34741.1798,1964538,0.017684148
MI,Education,Less HS,5665.4628,564902,0.010029107
MI,Ethnicity,hisp,8391.6756,294371,0.028507141
MI,Ethnicity,nonhisp,133546.6144,4687708,0.02848868
MI,Income,<20K,22300.6516,498881,0.044701345
MI,Income,"[20K, 40K)",20674.4696,616834,0.033517072
MI,Income,"[40K, 90K)",55964.0497,1541816,0.036297489
MI,Income,"[90K, infty)",42999.1192,1382637,0.031099355
MI,Race,black,25675.5094,639566,0.040145207
MI,Race,other,13718.1218,599659,0.022876538
MI,Race,white,102544.6583,3742854,0.027397451
MN,Age,18-24,9934.9497,253453,0.039198391
MN,Age,25-34,25262.1619,382958,0.065965881
MN,Age,35-44,16179.1201,391081,0.041370253
MN,Age,45-54,10513.024,341891,0.030749637
MN,Age,55+,30739.3852,820293,0.037473665
MN,Education,College,54698.5736,2212584,0.024721581
MN,Education,Graduate,18231.1438,528626,0.034487793
MN,Education,HS/GED,17075.8313,916744,0.018626608
MN,Education,Less HS,2623.091,239636,0.010946147
MN,Ethnicity,hisp,7762.3685,182871,0.042447236
MN,Ethnicity,nonhisp,84866.2715,2679263,0.03167523
MN,Income,<20K,8813.5627,205172,0.042956947
MN,Income,"[20K, 40K)",10489.5594,268142,0.03911942
MN,Income,"[40K, 90K)",35725.1068,812964,0.043944267
MN,Income,"[90K, infty)",37600.4104,996689,0.037725319
MN,Race,black,11786.1224,199345,0.059124244
MN,Race,other,13202.0018,425959,0.030993598
MN,Race,white,67640.515,2236830,0.030239453
MO,Age,18-24,12189.1748,287175,0.042445111
MO,Age,25-34,22635.2123,406400,0.055696881
MO,Age,35-44,16320.8554,392741,0.041556281
MO,Age,45-54,10225.7232,359824,0.02841868
MO,Age,55+,28615.9749,883798,0.032378411
MO,Education,College,49336.086,2062725,0.023917917
MO,Education,Graduate,13404.429,520533,0.025751353
MO,Education,HS/GED,23109.1288,1279442,0.018061881
MO,Education,Less HS,4137.296,354732,0.01166316
MO,Ethnicity,hisp,5399.3879,158645,0.034034403
MO,Ethnicity,nonhisp,84587.5521,2882045,0.029349837
MO,Income,<20K,12988.1259,310483,0.041832003
MO,Income,"[20K, 40K)",14533.1072,396433,0.036659681
MO,Income,"[40K, 90K)",36385.8675,964661,0.037718813
MO,Income,"[90K, infty)",26079.8392,813257,0.032068386
MO,Race,black,15998.6173,325551,0.049143198
MO,Race,other,8875.0458,324118,0.027382144
MO,Race,white,65113.2773,2391021,0.027232415
MS,Age,18-24,3871.9206,145446,0.026621018
MS,Age,25-34,6325.0981,183093,0.034545822
MS,Age,35-44,6126.4517,179788,0.034075977
MS,Age,45-54,2566.6007,172668,0.014864368
MS,Age,55+,9029.1497,397789,0.022698339
MS,Education,College,15418.0423,931943,0.016543976
MS,Education,Graduate,3455.1259,185864,0.018589538
MS,Education,HS/GED,6406.7439,589225,0.010873171
MS,Education,Less HS,2639.3082,263266,0.010025253
MS,Ethnicity,hisp,339.7422,56275,0.006037178
MS,Ethnicity,nonhisp,27579.4778,1375246,0.020054214
MS,Income,<20K,5789.99,210656,0.027485521
MS,Income,"[20K, 40K)",6037.8582,216655,0.027868538
MS,Income,"[40K, 90K)",10014.6972,421173,0.023778108
MS,Income,"[90K, infty)",6076.6746,283276,0.021451428
MS,Race,black,7314.739,512063,0.014284842
MS,Race,other,3112.6437,100635,0.030930031
MS,Race,white,17491.8375,818823,0.021362172
MT,Age,18-24,1469.9711,52673,0.027907488
MT,Age,25-34,2637.8807,73457,0.035910542
MT,Age,35-44,2336.5109,72815,0.032088318
MT,Age,45-54,969.2217,62242,0.015571828
MT,Age,55+,4026.0352,177723,0.022653428
MT,Education,College,7077.2341,423620,0.016706563
MT,Education,Graduate,1644.2639,90134,0.018242438
MT,Education,HS/GED,2290.8881,214759,0.010667251
MT,Education,Less HS,427.2341,41822,0.010215535
MT,Ethnicity,hisp,105.7075,24856,0.004252796
MT,Ethnicity,nonhisp,11333.9125,535179,0.021177798
MT,Income,<20K,1956.6361,52994,0.036921842
MT,Income,"[20K, 40K)",2061.4074,73138,0.028185176
MT,Income,"[40K, 90K)",4364.7466,179324,0.024340002
MT,Income,"[90K, infty)",3056.8297,147227,0.020762698
