state,age,mean,median,q025,q975
AK,1,0.028843834349333703,0.026546621817638488,0.01044059630116625,0.05997371720088284
AK,2,0.03411317598209285,0.032697603157048546,0.016696315167315356,0.05939372309847176
AK,3,0.02999346723263181,0.028829453874937433,0.014579382683693009,0.05188161481905867
AK,4,0.015277167601392846,0.014124781945550956,0.006105783948514558,0.031006584918591196
AK,5,0.021359958924659445,0.0206990444284042,0.010956478353159441,0.03539607257506055
AL,1,0.03626905493384506,0.03456997830041354,0.018402508342964915,0.06335194840966636
AL,2,0.03741805562143105,0.036183308075240145,0.021157179748245873,0.06053518386949408
AL,3,0.03331936138645725,0.03242283225804278,0.019375511236882543,0.05227054643926307
AL,4,0.020329216136082563,0.01950893435233836,0.01093987910079632,0.03438208488219239
AL,5,0.022438177971234863,0.022026031520059143,0.013742411111661544,0.03337574218100656
AR,1,0.03340050930182302,0.030696246467866152,0.012343768616704918,0.0693796271246957
AR,2,0.0410238730986269,0.03890932318622402,0.019335183609153095,0.07409204936725851
AR,3,0.036543362558612104,0.03499682022966064,0.01745884026163762,0.06417307043046472
AR,4,0.01638100323506532,0.015243186108808156,0.006867619112848713,0.03243083562720629
AR,5,0.025377423515639565,0.024795788066767466,0.013362430468051804,0.04060837713140473
AZ,1,0.022308336876287443,0.021058432219477903,0.011305387624580153,0.04057579810863275
AZ,2,0.04546429327127614,0.04441540376352851,0.027643032153803173,0.0689517316873486
AZ,3,0.023931756999824028,0.022897656916866918,0.013212091911186713,0.040443109927369957
AZ,4,0.02181821980671114,0.020808333229250804,0.011617835781338287,0.037720682859747445
AZ,5,0.028381474543255354,0.02782666600909134,0.018023301072343487,0.041756933852382605
CA,1,0.030136969280299627,0.029056785830862776,0.017161166531086382,0.04935708830938894
CA,2,0.0515116889828592,0.05057789354138792,0.0331945501367766,0.07494694137081799
CA,3,0.02880594582334636,0.027884847876225097,0.017493901263938464,0.04534770533772764
CA,4,0.02680267292592882,0.025908392612750755,0.01578880335622965,0.04292646741445033
CA,5,0.03251306189497329,0.03191196821890377,0.021088769702646806,0.047225813817201125
CO,1,0.039008129652181506,0.03784642371198926,0.022415267774137722,0.06204715557755944
CO,2,0.047721731481136224,0.047103083365159594,0.03295878849775307,0.06582612139920596
CO,3,0.035638037550930285,0.0351342740913958,0.02354880468344785,0.05068620774217802
CO,4,0.025888603422527967,0.025315363546066068,0.015938166413949482,0.039215043755535806
CO,5,0.028322284429335442,0.028038997726756214,0.01971563859551464,0.03869775674341839
CT,1,0.0,0.0,0.0,0.0
CT,2,0.0,0.0,0.0,0.0
CT,3,0.0,0.0,0.0,0.0
CT,4,0.0,0.0,0.0,0.0
CT,5,0.0,0.0,0.0,0.0
DC,1,0.05169039670330005,0.04659938502728167,0.017510997600889717,0.11480747367487938
DC,2,0.13062191527385233,0.12774072586990204,0.07623211158176017,0.20060189409007753
DC,3,0.06104618546944556,0.05756586014946474,0.026462198346656026,0.11539365770355657
DC,4,0.0594786933474161,0.055678874158392615,0.025698542592744632,0.11447614931620813
DC,5,0.08696463053556823,0.08404922711628038,0.04515324487413403,0.1453289092196171
DE,1,0.07291066482578037,0.06656363695405051,0.03329680281182837,0.15170454557820315
DE,2,0.0748796439835061,0.06728872050439766,0.03224655158067098,0.15769393333365594
DE,3,0.08532136256705711,0.07979515771340685,0.039835983446694215,0.16096851516913008
DE,4,0.0282805344906213,0.026923297239878324,0.013869860509611124,0.050561565719639344
DE,5,0.06333216232401863,0.0622275833011518,0.032672419892320295,0.10075512282386918
FL,1,0.04853890658641522,0.04714822149511046,0.028084557044465157,0.0767206495218141
FL,2,0.055182695470254284,0.05447734476545014,0.03803060888887481,0.07633564942258557
FL,3,0.039421870590986695,0.03881828542494142,0.026434214397621718,0.05574881332504906
FL,4,0.0352000587203994,0.03441245883804924,0.02179129366791198,0.0531111623212194
FL,5,0.03257670669458019,0.03222475118844231,0.02348229094408475,0.0437103422798247
GA,1,0.0453734601244289,0.044096366688591876,0.025689828936705735,0.07210860781542111
GA,2,0.04553442301033581,0.044756131491670584,0.030092283519824285,0.06552991752488702
GA,3,0.03911317026944962,0.03843517024301419,0.025098392001911,0.05695014906301311
GA,4,0.027987723359720135,0.02712213710712235,0.016158292038798865,0.04480723505878594
GA,5,0.02698300208807932,0.026684760514483187,0.018659920207867508,0.03703047681444657
HI,1,0.04500548962900446,0.041263500340340875,0.01600001623140057,0.0949203315329414
