state,educ,mean,median,q025,q975
AK,1,0.012819667204291955,0.010682317845602722,0.0035130321909937682,0.03435416899244452
AK,2,0.011210155744636177,0.0107822098903658,0.0057423260893288116,0.019078757802896366
AK,3,0.01698848032513509,0.016646061929809452,0.01020498975876987,0.025755223812341008
AK,4,0.01947179907015039,0.018231031207848355,0.008025224932739746,0.037789370560514526
AL,1,0.011769211057026769,0.010542111926621004,0.0041824663559152965,0.02590857113197114
AL,2,0.012242053474667247,0.011968757469142423,0.007623379840612465,0.018436290285682066
AL,3,0.017686106454487645,0.01743808705698234,0.012099397169495488,0.02463369493994988
AL,4,0.017008710037500294,0.016198970224506955,0.008701256151606772,0.029808756709223665
AR,1,0.014368281705763215,0.01216182698789374,0.004016025283343579,0.03658298282607196
AR,2,0.012391652451131824,0.011974829849230007,0.006438294443324935,0.020619298007266623
AR,3,0.018748438611695954,0.018396590142021364,0.01098607192783129,0.028387626044164664
AR,4,0.021551414478461487,0.01990514598980709,0.008898431625439854,0.04344175508061103
AZ,1,0.007572610188846307,0.007042428816075308,0.0034767310799350536,0.014744759347637531
AZ,2,0.015857867825656444,0.01547384922656621,0.009957028190434076,0.02394359992984053
AZ,3,0.016597446524648413,0.016400531641744223,0.011742507654959149,0.022557468277889597
AZ,4,0.023254872485401475,0.022466341896068498,0.012757470126281865,0.038114483973456105
CA,1,0.008878471420580174,0.008350515481013452,0.00432404039275505,0.016455673296993
CA,2,0.018871300081512114,0.01847013850697072,0.012387844797054966,0.02757496704210063
CA,3,0.020506171709924324,0.020309849915586965,0.015136713695484433,0.027019975355148464
CA,4,0.026358056448543162,0.025658908929608395,0.015719530344534577,0.04085266881263063
CO,1,0.012049449921184235,0.011077486591016327,0.005339612635492488,0.024170779234238368
CO,2,0.016652470572884385,0.01641788676297342,0.01157554068907302,0.023127127261400593
CO,3,0.02066909801735654,0.0205240665736313,0.01590000453513874,0.026216792723697337
CO,4,0.02318395990856071,0.022805988067457848,0.014946545638732826,0.03356266143449169
CT,1,0.004536811048792496,0.004228493121701366,0.0020694932416095058,0.008804808695331161
CT,2,0.007159061235997408,0.0069975398580321355,0.004709995695758284,0.010516163299776267
CT,3,0.009383152099246657,0.009209909005513234,0.006528523579030818,0.013253173242684555
CT,4,0.009270507991092318,0.009036693857468293,0.005831162677559659,0.014101161742714835
DC,1,0.01664169387289989,0.014590149746408402,0.005012824268320925,0.040208186242455556
DC,2,0.04231843519590878,0.04055437911992406,0.02177980182795089,0.07275927608492751
DC,3,0.03991127790158779,0.03887461104695634,0.022321683528902948,0.06328758606933915
DC,4,0.0572460511403181,0.056120827872240334,0.0336546302658144,0.08678351003348753
DE,1,0.033354528884673725,0.025681319599432848,0.007148846444270796,0.10222570509205406
DE,2,0.026264519794615544,0.024816683568181112,0.014097845229710712,0.04658677623670754
DE,3,0.03520139030079864,0.03440155751892225,0.02004451509193482,0.05477413204777657
DE,4,0.04901397412640377,0.04494480268900272,0.017068868421284224,0.10266210150894817
FL,1,0.011587278639161484,0.011018889837701,0.005765774656878265,0.020689981771171016
FL,2,0.019270391130251002,0.01904268251090488,0.013830825672456913,0.025944892585044246
FL,3,0.023856739360284512,0.023661186742560535,0.01830847507983663,0.030494139335915653
FL,4,0.02318087484447127,0.02273723042074218,0.015009363225626564,0.03388822284416164
GA,1,0.012286874975824903,0.011244173285959787,0.004860147947965508,0.025343408681266576
GA,2,0.015816605339243457,0.015578097435343524,0.010767133510153857,0.022180278272414974
GA,3,0.021746317208387194,0.021599678908626893,0.016401327631349803,0.02792886229592337
GA,4,0.022582648282858594,0.022045375983356687,0.014156803886301582,0.033987586612251576
HI,1,0.015950164257940616,0.01368152205470394,0.004830312186234856,0.04034825976375409
HI,2,0.01610490646978732,0.01545798560012818,0.008268355532747544,0.027587930228999788
HI,3,0.02374559904388153,0.023227545358239787,0.014346557711617894,0.036036038614200135
HI,4,0.0261736379612981,0.024641412583382632,0.011036814818214875,0.0498253917499345
IA,1,0.014434817278464898,0.011788990039225981,0.0038146220540938663,0.040260108136112846
IA,2,0.012348076963331128,0.011874651226393109,0.006161004032065948,0.02113201075977784
IA,3,0.01854060462755306,0.018250383330386442,0.011240309971587776,0.02748555049022501
IA,4,0.021309828548077572,0.01977787918075492,0.00879513299366277,0.042403553259770306
ID,1,0.011088078477331571,0.009514392303593657,0.003287771445534937,0.027826789267219314
ID,2,0.010551380374816018,0.010144613186457757,0.005413064299717215,0.01799229620749294
ID,3,0.015943198267336246,0.015622494685404702,0.009798898069162353,0.0238976730656792
ID,4,0.018051247021950288,0.016911115696250707,0.007512157582335338,0.0349088201505529
IL,1,0.010073528942781417,0.009379236777853748,0.004502934090314234,0.01959301444160796
IL,2,0.016172617414864192,0.015961019340810116,0.011300877728585802,0.022253696506151326
IL,3,0.018858239482313823,0.018754127952241097,0.014473854289262462,0.02383289485037246
IL,4,0.022459363928103056,0.0220166539453166,0.014111613087814437,0.03316602737879587
IN,1,0.012586350034051353,0.011250472418607325,0.0049844121697054595,0.027537699906478513
