state,ethn,mean,median,q025,q975
AK,1,0.004786548925211069,0.00406696842137072,0.0014640488384608835,0.012326050795491044
AK,2,0.02068605230876893,0.0203033135948541,0.01459385679449897,0.028967898294213833
AL,1,0.008849372278099557,0.008346440692292397,0.0043512765280965555,0.016153385139754832
AL,2,0.022338346155702588,0.022067656890868523,0.017291520347072473,0.028860599666236712
AR,1,0.005441141833061053,0.0046962876592915054,0.0018121879705413166,0.01343984568316388
AR,2,0.024161535361547984,0.023821267372269344,0.017872873345218452,0.03234376418708357
AZ,1,0.02743765775297082,0.026951567602386903,0.01686291823177865,0.0406690902361371
AZ,2,0.02025514686028466,0.02004103184202509,0.014592870497876392,0.02723350561680296
CA,1,0.02774633924010176,0.027397743822565386,0.01873097550349921,0.038741714985606246
CA,2,0.025719995723302132,0.02547896610562173,0.019201556156865744,0.03369823314896008
CO,1,0.022844116818856005,0.02250159207694013,0.015160973370077942,0.03227171361284075
CO,2,0.028355956888271545,0.028176251359145837,0.02295423086338458,0.03473706637165101
CT,1,0.0,0.0,0.0,0.0
CT,2,0.0,0.0,0.0,0.0
DC,1,0.10869007011210904,0.10442383691265086,0.05427697664409538,0.18729389760009563
DC,2,0.0630316269454097,0.06226229463984954,0.0441690542248933,0.08638315848007405
DE,1,0.020287443191732518,0.01906287833460692,0.009826424353060697,0.03761177454578899
DE,2,0.054236119080262685,0.053762658604174535,0.042172288710092036,0.06887216048905594
FL,1,0.02860178133699698,0.02825152423009348,0.01992374690122559,0.03911153415719119
FL,2,0.03245362205900437,0.03218935075974057,0.025477014256495907,0.04098376018358712
GA,1,0.021202738661535936,0.02035185836432614,0.011840640765528326,0.035317229230458255
GA,2,0.027165991139187027,0.027030990594001415,0.022290763099255904,0.032777433319062924
HI,1,0.007010306030484562,0.0060313798934132894,0.0023533756143237126,0.01746128442801192
HI,2,0.03315328529636273,0.032533176304566785,0.02299373314527192,0.04689101241419346
IA,1,0.004774579809333561,0.004125797495651538,0.0016803416108075908,0.011696652250417558
IA,2,0.023796903864024346,0.023427284056019942,0.017458306103152348,0.032149345869934634
ID,1,0.00436868772991369,0.0038013550144552584,0.001493123821428822,0.010577917181539038
ID,2,0.0212074395767605,0.020807457041609682,0.014914841054832508,0.029736106238242972
IL,1,0.030185837491996513,0.02970369214924745,0.019153996339792458,0.043940224320641166
IL,2,0.02376067767008139,0.023656969438959535,0.019406897746602446,0.028726311829884384
IN,1,0.01831730262018723,0.01787743394109314,0.011334270353788894,0.027656737003945504
IN,2,0.024476517718623303,0.024318457148412208,0.020048718707993782,0.02980214680169515
KS,1,0.009023040881438205,0.00865304863494448,0.00481987760168841,0.01529667886546188
KS,2,0.02269776474301333,0.022497595854407686,0.017974991406793463,0.028523859329512593
KY,1,0.01813084137259652,0.017624067457530035,0.010820112983998266,0.028201932034414838
KY,2,0.02734020766378221,0.02717449812816914,0.022385713504199576,0.03322970551091659
LA,1,0.006137324748955347,0.005200625179731376,0.0017129722258110843,0.0160500954346971
LA,2,0.023529000401500046,0.022992393353776307,0.015847309437577596,0.034128414730823724
