state,income,mean,median,q025,q975
AK,1,0.04575677411991427,0.04290462922337607,0.019656294906740847,0.08860144706117962
AK,2,0.03407300076470255,0.031361244755023346,0.012407790809085162,0.07052320150757231
AK,3,0.027380810300471656,0.026558944708437268,0.014330154914035652,0.044981824168076404
AK,4,0.02366774209336381,0.022992232846707674,0.011217013305967246,0.04002778117450532
AL,1,0.036645778809580254,0.035292176258499314,0.019678817945057547,0.06110303920942701
AL,2,0.028567861471610608,0.027581588455735075,0.01390066414960233,0.04862574300498337
AL,3,0.02491974560869008,0.024483657111528938,0.015838269245243862,0.03634678648484164
AL,4,0.023100127553431694,0.02237161807772344,0.012874397038936027,0.03721514990942327
AR,1,0.036287765877594365,0.03457787778323105,0.01737311187798274,0.06483980425721068
AR,2,0.03255182999784733,0.03103710010290409,0.013001386073401405,0.06023046352294901
AR,3,0.02592476647427258,0.025287525810872097,0.014172829342407028,0.04124772620454409
AR,4,0.02368944386678227,0.022236877991676826,0.009726059381209302,0.04541379291159169
AZ,1,0.033276013593128456,0.031860302384846356,0.01809501842400678,0.0565289647221649
AZ,2,0.028331754786643622,0.026649539595677466,0.013543121068146409,0.052778110798041546
AZ,3,0.032456652300509474,0.03189372814279025,0.020628938779704484,0.04753211218553849
AZ,4,0.02505456913531525,0.02436582130193512,0.013766587733478785,0.040254756985387295
CA,1,0.04775345762656796,0.04593602031742093,0.026329946881841395,0.07959176365616612
CA,2,0.03875635918075554,0.036613577332720595,0.01939757821465391,0.07039689404675403
CA,3,0.04334299310053753,0.04256163825173219,0.027914474028357287,0.06322926173363577
CA,4,0.03395963128412136,0.03344829291484563,0.021873095044716157,0.04894027697909795
CO,1,0.045344868452234934,0.04393282558182407,0.026071384957758244,0.07267582671482763
CO,2,0.037568643981612346,0.03631774638058004,0.020173744909834476,0.061636476092807015
CO,3,0.035776870526880764,0.03544694488699204,0.025258226645236925,0.04827033455132753
CO,4,0.030393557552793833,0.03015570049170509,0.021240061737047126,0.04108440493923479
CT,1,0.0,0.0,0.0,0.0
CT,2,0.0,0.0,0.0,0.0
CT,3,0.0,0.0,0.0,0.0
CT,4,0.0,0.0,0.0,0.0
DC,1,0.07180406197751223,0.06659606182747063,0.027203895540148154,0.14558799486451818
DC,2,0.07117992038003457,0.06416467292754255,0.022908821455955828,0.160110765173331
DC,3,0.08396063141597178,0.08127028301194282,0.04295539078457955,0.1403768397763892
DC,4,0.059144122158104884,0.057783537647463905,0.030734923140072125,0.0951950202970111
DE,1,0.049564866065601676,0.045952538677704755,0.0225851361365093,0.09750376169456726
DE,2,0.08391671949877344,0.07495778173313841,0.0271268372816306,0.18902335349606186
DE,3,0.0622621182463698,0.06020398890607561,0.03175211452783312,0.10431092194365851
DE,4,0.05804264142436558,0.05543564929838361,0.026590801203172577,0.10241564943961788
FL,1,0.05514351740758848,0.053571552557324015,0.032195062243298406,0.08676362860522036
FL,2,0.03809104221983394,0.037058582607970014,0.02209245039454203,0.05984440429865931
FL,3,0.04024302758772825,0.03986320424498149,0.029061179309396654,0.05361987290792262
FL,4,0.0342352809720935,0.033792332382186936,0.022862033842886334,0.04806245973092342
GA,1,0.03966831946948152,0.03840489374535768,0.023074319500858264,0.06354010659987577
GA,2,0.03607705550521032,0.03486858100132971,0.019022426055495898,0.06009326088285204
GA,3,0.03472803492114377,0.034362623868676764,0.024169059345389213,0.04747326537788035
GA,4,0.033033892398505973,0.032611561245565565,0.021813609839612013,0.046622516261588795
HI,1,0.08136577944917579,0.07625564231931428,0.03485905580004292,0.15703947074699434
HI,2,0.05712089749913186,0.052782264148722974,0.0211646490601355,0.11708049031319809
HI,3,0.045266867959790805,0.04384781458827994,0.02351151079639554,0.07523895444656797
HI,4,0.03660733899220254,0.035531143664547,0.017931780553563426,0.061528051379462316
IA,1,0.04111591372254761,0.038895749325526356,0.018634942084234753,0.07641278672482381
IA,2,0.03221922404430139,0.030144796876768458,0.012153576431856541,0.06347828770462213
IA,3,0.025751253255462608,0.025148682333512463,0.013920526149557345,0.04091845318274415
IA,4,0.023329888090392766,0.02235722548093123,0.010103855481148673,0.041755532902949956
ID,1,0.04347208214313766,0.04090703785759316,0.019177831390940737,0.08268982230704658
ID,2,0.029485163527609125,0.02785272359757083,0.011824761958923484,0.056085444507759104
ID,3,0.024304372058346572,0.023678623162996317,0.013499728423859447,0.03875813580099702
ID,4,0.021599929094675466,0.02076812247902894,0.009784371318469324,0.038348722346832426
IL,1,0.03466995647498857,0.03372730732730065,0.02045187781320621,0.05416846450086101
IL,2,0.033447162163795945,0.032442707348908126,0.017914075336433268,0.05450784909503869
IL,3,0.03330406755185416,0.032986089366958155,0.02339065856888314,0.045077845812709544
IL,4,0.028047151229026235,0.027719177951780066,0.018827525038244083,0.03906178101424236
IN,1,0.03893565582287816,0.037730224592759494,0.022490879703649266,0.06222610669717942
IN,2,0.0319982724114402,0.03091595296111181,0.01702820542878242,0.05285672321334235
IN,3,0.029473795347886963,0.02916501410927718,0.020602531665479096,0.0400201089745647
IN,4,0.026962880265218876,0.02644898156295144,0.01685791740855807,0.039862125831779345
KS,1,0.03553887995158953,0.034090715106347175,0.018506250946260662,0.060591967139869155
KS,2,0.029224158182056963,0.027872997311226937,0.013409465507432224,0.05228337691220091
KS,3,0.024927926684036438,0.024561957068925624,0.01585801602511266,0.03602031309091301
KS,4,0.024103389150119812,0.023517325765097265,0.014311967391634563,0.03704365202094538
KY,1,0.03376431426512037,0.0324625513393757,0.019028404344399324,0.055972675129315634
KY,2,0.04018247290390137,0.03819252214075426,0.018251049281805137,0.07250991773757141
KY,3,0.03291557636046845,0.032315496800311996,0.02122050523346346,0.04777719829652084
KY,4,0.030195871910068322,0.028761553724006336,0.016935455541725573,0.050831589025214605
LA,1,0.04842797518991597,0.04621518401194109,0.023291662346453613,0.08626843099860892
LA,2,0.027686254593933184,0.02647732803730254,0.012202137533051898,0.050212880448249814
LA,3,0.024364881043396205,0.023516941518552312,0.013179503507945486,0.04041239613261687
LA,4,0.02093384732488387,0.019873758678419576,0.009179731903229429,0.03880687037691511
MA,1,0.054694116166806625,0.052441413076760535,0.029948808793158005,0.09202320752979876
MA,2,0.037743471603835566,0.03559315546566322,0.019041929982321886,0.0690197088135881
MA,3,0.04031662052187945,0.039574811568443766,0.02639997889630731,0.058420683969248655
MA,4,0.036275927139267604,0.03587524113872226,0.024557668622143553,0.05023215498411567
MD,1,0.03783898338533813,0.03523778414408642,0.01879344782603591,0.07237537132295065
MD,2,0.036079449963924724,0.03370588885147836,0.01714781819061219,0.06870543892972535
MD,3,0.03616300989956435,0.035349356088667606,0.022696126830352548,0.05409788000680178
MD,4,0.03250785455457354,0.03207640164756305,0.020880039739081462,0.04660424492887424
ME,1,0.055146598929916975,0.052099149429307115,0.0248959983294059,0.1029377880464933
ME,2,0.04908887928675826,0.0458147213133663,0.017852788670748975,0.09776411024657579
ME,3,0.038688162213716924,0.03769359422649034,0.020433578797619138,0.06240201208728654
ME,4,0.03540945882736378,0.0338454458739824,0.015333566709151987,0.06390057517185543
MI,1,0.035281763816941564,0.03432006434427879,0.020918183313513437,0.05499330320504171
MI,2,0.030773483537409958,0.02984439693786467,0.016697413599602577,0.0499240210129067
MI,3,0.029127291321893036,0.028873941973701286,0.020681025853952983,0.03894775705195162
MI,4,0.026420340151637394,0.026040585446080212,0.017186772335026322,0.0377914079757917
MN,1,0.03208053799653754,0.03115363126251253,0.018662440609684087,0.05068707043074345
MN,2,0.03485476210445301,0.03335070274985743,0.017364997053063817,0.060528125103490905
MN,3,0.03245468182550836,0.03215131880717732,0.02237282624137211,0.04436084064044561
MN,4,0.028546379678431644,0.028254919399301585,0.019112370675203907,0.03969350060581104
MO,1,0.03396424261482146,0.03301497272357408,0.02019230796494915,0.05302443314090452
MO,2,0.035736371697400675,0.034431240736118925,0.018235445484792105,0.060238379338819606
MO,3,0.031476368348196004,0.031152449708663828,0.02183220185351819,0.042887477711218085
MO,4,0.028454678754116242,0.02783554397404726,0.017706499564024612,0.04258813116379159
MS,1,0.025992688345982343,0.024727228685569758,0.01309981952389433,0.04612482892775689
MS,2,0.03352139110941443,0.031524731003526166,0.012462011854645906,0.06506730747498492
MS,3,0.025260593003788776,0.0244971577611132,0.01356880274779455,0.041015209869258294
MS,4,0.024736660114134976,0.022607455971573945,0.01001431451404056,0.05006173618719303
MT,1,0.033380908598580464,0.03151472464509651,0.01516950053550972,0.062011607965479214
MT,2,0.03335855847097499,0.030909052504222788,0.011691835871145514,0.06800557265740098
MT,3,0.025007147817404023,0.024321709840203196,0.012952581510344988,0.04068757347707431
MT,4,0.022676213844679733,0.021291753304787615,0.008899115146882028,0.04351804605170057
NC,1,0.039732999953424906,0.03819770795947308,0.02179167477998129,0.0661729416804752
NC,2,0.032484064042000035,0.031285840977962345,0.0164134719763506,0.054869897493863055
NC,3,0.02865565747119861,0.028220511599506018,0.019358635599322868,0.040247659766005674
NC,4,0.02498131186364868,0.02439846328715952,0.015409707305366872,0.03782893194267069
ND,1,0.04652349258298671,0.04364023855598491,0.020321742739282007,0.08926692153036714
ND,2,0.03125627153825637,0.029353547048272352,0.012364202928727577,0.060632272167971284
ND,3,0.02652686355715764,0.02568571839348608,0.014127426416422898,0.043531405417161606
ND,4,0.023252503991245368,0.022395123504576436,0.010299469754833208,0.041315229480295174
NE,1,0.042215497024624155,0.039901066549206166,0.01897084808309183,0.07892717643330258
NE,2,0.030319089227835733,0.028519696487580293,0.011756968189134376,0.058802116307704225
NE,3,0.024742574682934528,0.0241415137241715,0.013506757856978724,0.03941527476822737
NE,4,0.021960592929530263,0.021125070308188384,0.009867398284969176,0.038752845791504634
NH,1,0.044810402564605285,0.04250147452372701,0.021957658361143988,0.08044932429303409
NH,2,0.05172906554503149,0.047097697316335604,0.019451887373269968,0.10863234202166538
NH,3,0.040185461928002215,0.03916900727999406,0.023028574131153258,0.0626195843995155
NH,4,0.03642684621383083,0.0357540930837235,0.020861398799982226,0.05567774298370233
NJ,1,0.03993390544947491,0.037684253213790556,0.02066813123622976,0.0723486786125712
NJ,2,0.031349506664832424,0.029129790174852052,0.014350369060032288,0.06113505222811305
NJ,3,0.03422295892625277,0.0335022111528623,0.021789032681876493,0.05065896195568165
NJ,4,0.030443376888568765,0.030072018122045557,0.019935242767202568,0.043123099800882844
NM,1,0.054366539122928104,0.05182786293135299,0.025766584029569085,0.09797472691104377
NM,2,0.036584540507240755,0.03489105777585509,0.015357776082771592,0.0672854088407787
NM,3,0.03155525238901869,0.03061891081263559,0.017282117799662162,0.05107833029084605
NM,4,0.02837731947567127,0.02713455202285232,0.012449354691806072,0.05155974945825312
NV,1,0.04123358536724496,0.03965514167651571,0.02192637846900173,0.06950345218886131
NV,2,0.034750315780416347,0.033125053198218915,0.01672760729010821,0.06222216013401908
NV,3,0.03714835412545271,0.036574199023868284,0.024086487293674554,0.05334799988778194
NV,4,0.02828338183382683,0.027578035343518072,0.016198710367086755,0.04419187736598706
NY,1,0.043135602479514985,0.04186690939360027,0.024948461508224298,0.06851101302024812
NY,2,0.03892488859158226,0.03758176461990126,0.020866647206753845,0.06461406406170574
NY,3,0.040417991853421806,0.03990883348287423,0.0277938469083112,0.05594873526924569
NY,4,0.03358732044395823,0.03319483343043804,0.02285516554772377,0.04661961411639311
OH,1,0.036961517858139344,0.035962298825105495,0.021984556279378332,0.05752873033265049
OH,2,0.031709623891012104,0.03073743932414861,0.017193947881588015,0.051539472261147565
OH,3,0.029860374894065678,0.02956967994696763,0.02112837897270856,0.04012215825333449
OH,4,0.026130148544439243,0.025697800847739035,0.01669551516201029,0.03805479006176489
OK,1,0.02479310461975745,0.02377225364175136,0.013624052207066015,0.04189058718422683
OK,2,0.03756052764675162,0.035872664616088824,0.017076369369348157,0.06704492795906233
OK,3,0.032283108127738984,0.03182246030400723,0.02137402029964652,0.04589088271063581
OK,4,0.02911151453608487,0.027930438199058397,0.016056942032117365,0.04827088980886026
OR,1,0.04683885626646324,0.04549251516879341,0.027416646440536683,0.07374760417162723
OR,2,0.04199904995234055,0.04049801022080631,0.021991448198183078,0.07019663522541934
OR,3,0.0390848238536924,0.038720323951628034,0.027432575340233422,0.052868070699351344
OR,4,0.03516767185907928,0.03476236551281387,0.023644378846893754,0.04904893807993083
PA,1,0.03958045930078716,0.03847747420796267,0.02344041149560497,0.06187038435455912
PA,2,0.03189173961488041,0.031063075540908543,0.01775516380431113,0.050583068493259886
