age,mean,median,q025,q975,state
1,2209.3108704835545,2035.1384950536471,804.3476530586515,4614.078948576672,AK
2,4147.216428458204,3980.026966238637,2025.7495629104449,7204.544085575887,AK
3,3173.066499972195,3050.2725610429015,1540.5963743460463,5498.262318496153,AK
4,1351.1665555096417,1250.8943221618213,543.7120275120909,2728.6276927622216,AK
5,4052.802848393575,3930.335164804559,2070.6848946384875,6730.721664395818,AK
1,17203.23177649451,16429.082409312658,8714.47525706443,30293.08167693896,AL
2,23836.75293504819,23041.613318088093,13491.977042601964,38544.4755459821,AL
3,20079.954365388592,19505.01427566675,11630.299584204926,31613.547111761636,AL
4,12229.439051901207,11739.80863317475,6608.467535730919,20615.844757484116,AL
5,31648.704995054613,31113.7013432108,19394.215202954354,47088.89534765037,AL
1,9591.463183041893,8812.700541354148,3558.1358243123173,20099.417747923726,AR
2,16026.028893897506,15193.407322069457,7524.5895624155655,29038.094444664264,AR
3,13872.144932709778,13268.522273817802,6617.760590459102,24422.973231707125,AR
4,5782.201287415603,5387.025367525273,2429.2450369573753,11382.472494888947,AR
5,21292.547302436647,20817.954544358392,11167.785549238346,34165.98960250161,AR
1,15601.861031185455,14724.267079051744,7915.808486381005,28332.475574804175,AZ
2,46646.6511932817,45538.934466417006,28570.428468108257,70965.41220776718,AZ
3,22173.732856584764,21202.20592985675,12334.5850348888,37505.30302227903,AZ
4,18421.7967275939,17576.69231066999,9825.251359568705,31919.56506323947,AZ
5,59303.6848172536,58187.31838925989,37605.74492313229,87370.90149105132,AZ
1,109515.12367594708,105584.81137121693,62547.63151526846,178705.14686093765,CA
2,306401.7723819999,300434.20664874517,198314.113840552,447064.8587461583,CA
3,157670.81248242626,152522.14028460672,96173.45222386453,248584.10691491168,CA
4,132318.28303127823,127942.0443821387,77962.2924196753,212491.50389989087,CA
5,327095.7858763441,321074.22330478125,212342.72158129522,475593.71809090377,CA
1,21504.796375477814,20862.9378033287,12346.888036921111,34350.27302741873,CO
2,44991.14143257425,44433.85397403524,31178.044433052837,62017.66969665752,CO
3,30859.11282664211,30403.93984659734,20404.501904560442,44044.84281953623,CO
4,18810.891716123828,18372.734934729815,11630.696959828849,28540.76214127486,CO
5,42420.895935371955,41971.5795409752,29444.636004861346,57933.58870632204,CO
1,0.0,0.0,0.0,0.0,CT
2,0.0,0.0,0.0,0.0,CT
3,0.0,0.0,0.0,0.0,CT
4,0.0,0.0,0.0,0.0,CT
5,0.0,0.0,0.0,0.0,CT
1,2848.5303131021674,2569.1023254707125,965.9138233292927,6332.395994984127,DC
2,18179.909096332674,17766.78975969475,10655.006065040023,28038.714575851714,DC
3,6583.228652194059,6205.206769310469,2857.599941089312,12503.431108449926,DC
4,4275.738881966364,4006.562743038354,1840.6255278362194,8266.253865279623,DC
5,11705.332003490816,11308.976384707412,6051.815714997985,19586.954865249114,DC
1,6198.19764985204,5664.125138395455,2823.9955160797986,12922.989996267232,DE
2,9525.173500686182,8570.381367313668,4091.4991350844866,20147.85260217264,DE
3,10101.0179297258,9443.550426557662,4706.616185987486,19119.52030543974,DE
4,3194.5742508051962,3028.3173178714997,1565.453706875207,5752.114329389893,DE
5,19941.779751676175,19570.28365168268,10204.8818915866,31770.66411191173,DE
1,86844.04357395078,84331.97638106276,50222.65008643907,137625.00616590143,FL
2,154467.80121396796,152611.16932294256,106585.72193017311,213802.91607791008,FL
3,107581.2575585273,105977.47429502493,72306.05419412037,152334.57757282208,FL
4,94451.94420658432,92259.44328894556,58457.41176269762,143087.15735038085,FL
5,228698.35192032033,226111.4668842464,164719.63977450322,307226.7097775243,FL
1,47209.33307223827,45882.68663160168,26692.407719399762,75337.75650004213,GA
2,66562.24484671764,65383.26136951174,44005.77074264976,95772.19773604332,GA
3,54541.25000559563,53591.51795136016,35042.2712719426,79440.57310354392,GA
4,38136.11841450538,36848.09205744653,22066.45839987039,61430.27050693066,GA
5,71854.98266159906,71064.60515794714,49683.66371171961,98631.87172616746,GA
1,5737.9448700254325,5255.373610690589,2043.1698018856637,12148.624703176829,HI
2,10500.715577288627,10050.57581219265,5142.340909030877,18452.14099215397,HI
3,8637.324830587911,8297.687400678407,4246.22039343892,14919.372098863745,HI
4,4513.402016174509,4194.137945261079,1843.7172319666156,9008.405259028046,HI
5,14624.565804885064,14255.423270800913,7940.561919048708,23438.974164434774,HI
1,10531.455031783176,9728.734064171307,3918.143524942416,21712.976108007035,IA
2,16496.733066490036,15653.326105798096,7760.7378796916655,29920.425438732782,IA
3,14784.081843549078,14163.688589104264,7092.911300231665,25939.09563680187,IA
4,6245.21412084852,5814.962434894411,2564.5183546494086,12411.01731769595,IA
5,23140.80387254615,22656.613471344484,12185.677099411707,36882.49758225336,IA
1,5156.9005922473,4774.380321784574,1901.302363413406,10604.311167911079,ID
2,8640.153415931645,8280.899257339326,4236.3875624028005,15057.210350257594,ID
3,7118.289979373719,6848.47411644752,3556.325183352675,12221.344669458915,ID
4,3792.895180970048,3530.1947663132814,1556.6982879995787,7516.016861908995,ID
5,10955.779807488838,10668.775781709026,5953.0772750627775,17636.727491444264,ID
1,40709.52649837386,39695.677491979106,24130.729570136988,63208.637024831194,IL
2,80439.78215052825,79294.83589564134,53734.18633043376,113869.97830125726,IL
3,54524.23562910702,53572.796877138855,35317.169500901204,79210.04335233562,IL
4,37650.2629443463,36708.43892916286,22996.857361392267,57772.8258851494,IL
5,98250.05994808595,97240.53313192,68727.06901389806,133820.15158049547,IL
1,25680.36559129636,24814.374090660298,14360.368083551655,41993.78767023619,IN
2,38023.868243001416,37117.995191509995,24419.184175414972,56742.96052493519,IN
3,30967.243770765614,30291.90443206671,19326.711158329854,46445.92560599642,IN
