educ,mean,median,q025,q975,state
1,408.46457768257716,340.35276199835505,111.85241424894544,1093.9783031190207,AK
2,1582.9858961226917,1523.5703943115595,811.0319427926318,2696.7027234039733,AK
3,4386.1852420350615,4297.725046787,2634.6487254100116,6651.7505784720315,AK
4,1102.8142860542325,1032.601133111164,454.197250256411,2140.393564536801,AK
1,4818.171282888829,4316.716507495477,1711.3245733725212,10619.288494441314,AL
2,12809.61308212312,12522.217668574733,7979.329428727095,19289.05692866095,AL
3,28658.833546182952,28258.75271583216,19614.918036107323,39934.678764270044,AL
4,6328.710090168769,6028.648896436573,3239.784809246653,11088.943374579441,AL
1,3359.966959909815,2844.4916426660134,938.739365610549,8553.97962984703,AR
2,8708.460465223454,8416.189841357042,4526.603804692794,14477.184266349175,AR
3,17220.87587738016,16902.930835980587,10092.296501689303,26064.696976049658,AR
4,4064.5040417634336,3751.3880027904406,1675.539277837352,8188.743761105351,AR
1,4123.592664007613,3835.0235573169603,1893.8976703568683,8020.8846971368275,AZ
2,18580.346735329815,18134.536526191245,11665.924999726434,28046.341807593075,AZ
3,43925.20897123884,43410.230534283786,31088.375917477217,59685.78682647743,AZ
4,14602.324603412564,14109.694867995695,8012.439502296567,23943.57589630264,AZ
1,36837.88747109013,34648.02189152775,17939.211453283977,68264.70209308736,CA
2,103721.56487889786,101517.92079551052,68090.23025068181,151587.89873995053,CA
3,276771.93545255,274122.58990431466,204319.064500022,364686.00940475904,CA
4,100126.49022570702,97491.20803157409,59702.34378852557,155170.256398272,CA
1,3524.0009087717904,3238.716261885442,1560.1489024220552,7064.547161265789,CO
2,13505.728749564116,13315.704082360415,9382.577881619936,18763.239674240365,CO
3,46432.640474996064,46109.68821462392,35702.93943933043,58898.44060410978,CO
4,15963.86432531483,15703.705809081854,10292.491929255191,23113.72541029571,CO
1,996.099405414448,927.9069064778463,453.6227077870599,1934.4155139860532,CT
2,4632.481037162004,4528.002802988786,3047.819038458391,6804.240494957927,CT
3,11125.805214037604,10921.185427446471,7743.05240036512,15712.264431984326,CT
4,4454.128881614871,4342.0390617401345,2801.8457106838273,6771.219796491098,CT
1,576.6274032347784,505.44067103906457,173.29867987181544,1392.5612721901075,DC
2,2975.696026636723,2852.394041579896,1531.504002136513,5119.011285029342,DC
3,7895.432941070192,7691.630945044884,4417.687272396319,12522.182698868124,DC
4,10395.096368245544,10195.203952842046,6116.427947083296,15761.96564311195,DC
1,2039.1830454832614,1570.2825028720447,436.9135230653924,6264.529899608265,DE
2,5415.217654896644,5117.193605678551,2906.545742991622,9609.62300338032,DE
3,11855.834072254675,11582.896672937906,6756.562763336845,18440.07897090354,DE
4,5209.053412506898,4774.788142599586,1815.1738679168814,10904.081319653033,DE
1,19043.45121958389,18109.76784311705,9481.502916305677,34027.219441433765,FL
2,83757.33928873681,82769.06673274082,60110.14370292358,112773.70945481266,FL
3,188034.10478760028,186479.73993259924,144304.15666686543,240388.51028331762,FL
4,45864.504175043905,44986.4474040565,29691.84776606704,67069.33455500951,FL
1,9845.697876951064,9011.656221871423,3892.846697720023,20314.10736792651,GA
2,30852.463777621255,30391.98444147403,21001.110618508315,43246.27474968238,GA
3,76628.26826418529,76103.25546763922,57814.51742175313,98403.91223802071,GA
4,22070.708113344208,21547.26026521829,13832.83361853453,33220.002434473005,GA
1,1163.6347213002628,996.9565715803963,351.92927398513666,2943.8305912974047,HI
2,4409.721583903581,4233.175152861648,2264.9185534364683,7551.53241575882,HI
3,12984.367256711626,12702.603116681474,7848.925288320036,19693.36046366834,HI
4,3500.652188776113,3295.1193917704977,1474.4965582435702,6665.118650438751,HI
1,2094.6101566365196,1710.7516748172877,553.1711215288626,5847.460004907235,IA
2,8025.863913712545,7719.335096935265,4006.9491695145134,13732.159140417143,IA
3,20879.053440504824,20551.863774992038,12658.982694037095,30955.02345805838,IA
4,4671.408693771339,4336.714280057939,1927.709671345979,9303.04375735786,IA
1,1148.2951986855376,985.1602657722187,340.08877966504997,2883.4091829826402,ID
2,3403.4035843285938,3272.4156269374535,1747.0533492977743,5805.071405268317,ID
3,10984.311543914697,10764.051960634093,6749.252707445536,16470.99505215087,ID
4,2332.0051928135417,2185.4067281125917,969.9882512309337,4516.342440664473,ID
1,8575.70002492294,7982.722187517713,3835.5860564945933,16693.05291325583,IL
2,35701.933418117515,35235.2320998792,24943.594685340686,49129.06471030634,IL
3,82587.84896684765,82121.0272254647,63377.316844493165,104392.74856171083,IL
4,29202.812584869444,28625.236885228253,18353.7145816677,43101.07347772677,IL
1,5609.216609234203,5012.848534101964,2222.2158120812487,12272.686344867827,IN
2,22352.523133795523,22016.03073496424,15386.665949766662,31161.15531900656,IN
3,42535.130538413476,42176.971714546424,31373.55082232691,55625.24335932525,IN
4,9993.028439316085,9626.077493482284,5907.81291408233,16141.187851086075,IN
