income,mean,median,q025,q975,state
1,1116.1064828905105,1047.6562777940512,478.8169198095501,2149.9234307700585,AK
2,969.6400820267701,890.6039732877624,351.7145175588838,2019.8783691823908,AK
3,2575.8371635401295,2502.9392623553604,1340.2385749476216,4231.094716169067,AK
4,2818.8662734371533,2736.678253283224,1328.4828367255793,4781.959643818213,AK
1,11245.912031956746,10845.620543808735,6032.384112679907,18755.02685003478,AL
2,9803.04058765864,9452.965564952267,4776.071716672272,16725.02841417957,AL
3,18237.00901135243,17929.649144352938,11592.828394661301,26678.368367963612,AL
4,13329.366370395854,12909.380736666633,7419.67910366963,21482.114941315896,AL
1,6657.824889190868,6353.24262615338,3197.9703713440354,11882.348985535678,AR
2,7431.697481243002,7068.690023830961,2968.397555599856,13793.353529614245,AR
3,11787.222685388144,11509.902843353415,6421.949583871292,18725.710030186357,AR
4,7477.062288454853,7008.873120133783,3053.583769510797,14371.3967186005,AR
1,9950.430060794846,9511.981142878014,5405.5769414822225,16941.14665355384,AZ
2,10723.34778803373,10078.140655511252,5134.7661921326435,19903.45670927892,AZ
3,34398.01855255528,33815.82248952871,21776.44922238016,50226.64591896937,AZ
4,26159.676572604974,25445.916044697027,14346.21229092401,42051.25272171969,AZ
1,62658.05091495991,60145.12581180355,34456.71348784179,104736.84205448623,CA
2,57226.79110272525,54039.62925065002,28696.14225653656,103479.29422635095,CA
3,177788.34851136451,174718.2416965478,114335.48874464989,258931.06064762318,CA
4,219784.68749919537,216483.9188429796,141709.44790544474,316690.5516659104,CA
1,9166.831676960383,8884.887691496904,5267.186589436241,14671.346867299937,CO
2,9522.531441919848,9211.378933080223,5120.86574756033,15618.756388552938,CO
3,28114.46528628758,27839.739321896763,19897.332580155504,37829.55714856813,CO
4,32622.406053478986,32336.809733052523,22780.38609906369,44032.32412488769,CO
1,3939.2951540954023,3761.4716474375455,2033.2021296145012,6877.928771707072,CT
2,2358.319265145202,2260.786056163871,1251.8097871771236,4023.69923827418,CT
3,6811.2238115533555,6669.477782392765,4472.635236015791,9968.589069904394,CT
4,8099.676307434969,7912.629033099329,5125.073394363466,12160.870805448285,CT
1,2973.1334771696174,2755.9747793314928,1120.9743816942698,6046.283002686685,DC
2,1878.8901958885322,1693.1633311277046,604.0988513466156,4197.129767837784,DC
3,7065.811272161658,6855.073898216187,3602.7497226803303,11765.896048214598,DC
4,9925.017793967429,9700.570334035147,5157.980344597799,16000.413364984572,DC
1,1883.814268475416,1749.915292793402,859.02274972542,3696.6176433401015,DE
2,4204.177124262185,3741.130301789579,1348.6996224230556,9498.270923005397,DE
3,9025.540368160115,8725.548815573842,4623.489887511822,15082.472894411841,DE
4,9405.756424243762,8989.95246113206,4306.1286557010035,16613.64804956343,DE
1,55118.041053480185,53559.13619398288,32196.886996582303,86814.4081648479,FL
2,49586.02610866239,48245.333131164145,28800.88880263664,77953.5838324957,FL
3,130686.46235617563,129432.9493417351,94534.83365703339,173857.66870007443,FL
4,101308.86995264671,100007.90719408054,67779.40489926792,142200.3703989893,FL
1,19331.92754502985,18724.44416113739,11203.366397418336,30919.153151365263,GA
2,20992.999768617912,20316.70755414163,11028.595198069072,34763.29199773515,GA
3,50704.399778942105,50159.63932742888,35251.464255080195,69115.2282676997,GA
4,48367.81093951194,47782.60820959006,31995.16390565489,68280.87920729071,GA
1,3526.3784607142807,3315.2078855911777,1514.4720474510777,6776.058957683862,HI
2,2765.2007374406076,2548.7247724935487,1023.891924565219,5683.750313907272,HI
3,7004.804412674701,6779.850332485952,3626.1431816861937,11655.290457068575,HI
4,8761.986722637725,8492.578123590125,4278.095075785803,14768.726082381929,HI
1,5746.7542299190345,5447.173445224454,2604.653931753147,10646.365957759122,IA
2,6187.092758590649,5771.209947029865,2349.482458504941,12235.671378271481,IA
3,13208.103102595194,12915.234885813163,7135.299748961049,20975.343960832397,IA
4,10528.98611352035,10088.193941550404,4535.47359020637,18905.578067712573,IA
1,2845.3112531824577,2681.0120992092725,1252.3797606077655,5397.751237099658,ID
