race,mean,median,q025,q975,state
1,496.8304461177837,455.3711504436021,203.3981937873366,1027.2528619005745,AK
2,1188.8351807359197,1124.4874448703736,369.6977656643744,2365.2069232875974,AK
3,5794.784375040859,5688.320100666002,3734.7762281264604,8494.383357357578,AK
1,6273.771514127007,6104.742758998482,3707.8711507054663,9777.444222435495,AL
2,8303.041156032124,8005.953812817785,3843.650833377949,14420.869303768288,AL
3,38038.51533120454,37570.65584610508,27350.698656357396,51449.06685494163,AL
1,2537.397235582822,2394.003192088965,1209.8601947186255,4687.0260494886,AR
2,5759.236347294215,5422.716124390239,1873.9222042971921,11466.034134123285,AR
3,25057.173761399827,24758.54320350108,16734.99398202948,35190.98467651908,AR
1,5294.848841955902,4998.001989365712,2574.771938038437,9712.672874144959,AZ
2,4755.592781152689,4517.6264007218415,2406.662775519114,8513.128963228844,AZ
3,71181.03135088024,70545.53671363564,54889.388033136405,91167.53989364233,AZ
1,37029.8267663942,36036.106804578434,22475.448808848912,57265.47265582481,CA
2,43206.75318287836,41730.112217500944,25210.48751425835,69861.60465072034,CA
3,437221.2980789725,434035.39185925067,345509.08261191176,547447.6850402694,CA
1,3166.5064644582044,3091.086393203978,1997.9630780215512,4757.083404441679,CO
2,9255.822799964886,8988.084129591585,4771.808141834589,15218.079791592127,CO
3,67003.90519422371,66632.3916651443,54262.22587272681,81946.22985408684,CO
1,4274.6994612316375,4206.428125459552,2745.0436233001933,6188.798672485966,CT
2,1527.066775857164,1457.2679939209463,761.0118275800496,2714.807698208831,CT
3,15406.748301140127,15149.074288335942,11063.860857830065,21205.371064599527,CT
1,220.95723412748538,191.10472634741612,0.0,604.0957235002707,DC
2,1342.9552615408024,1227.829420949773,492.92567092958615,2855.533819512879,DC
3,20278.940243518948,20031.620387725307,14603.461983097,27357.354626418568,DC
1,544.6791903988063,513.8728147606444,256.5932033874789,1008.7373105626029,DE
2,5075.170473209328,4595.420198057422,1574.9644342125189,11092.60826519921,DE
3,18899.438521533342,18835.928021349842,12563.717450601685,25671.839853593145,DE
1,22664.795039651388,22202.81100205065,14484.01006677791,33512.32692800826,FL
2,29554.07053762334,28750.953771079483,17144.92801502928,46721.27856096419,FL
3,284480.5338936902,282525.96845890663,229715.49333893415,350462.5530535491,FL
1,12917.31320857615,12558.109601829445,7749.017142153168,20188.86258702583,GA
2,14928.309377866599,14442.46776211838,6992.426363503358,25603.402825761317,GA
3,111551.51544565907,110984.32874712726,89668.27646454397,136663.5507059631,GA
1,1201.7718010732103,1128.9530316361415,605.9756156563565,2221.9671433243157,HI
2,1396.342928225851,1203.1218374943614,363.4239033689276,3521.2110731086436,HI
3,19460.261030642276,19080.40379854971,13176.287722752157,27949.91514147712,HI
1,1961.7361669441952,1880.9802247731468,1031.1407105085066,3355.665065853959,IA
2,6747.1476476662065,6466.988986589515,2312.1614136163976,12744.623044696184,IA
3,26962.052390014826,26544.253168326206,17766.538073481086,38467.174254748184,IA
1,628.7523634763093,604.8804184104932,310.3075592396256,1086.456089443836,ID
2,2255.5743285266885,2128.917514891578,726.020343522684,4471.681521948121,ID
3,14983.688827739372,14683.578222125852,9889.481157037755,21815.029435634773,ID
1,7459.285529279795,7261.217749168069,4622.5962311344165,11401.317546764563,IL
2,20526.044356065242,20104.144801020917,11215.589495700247,32359.13112467713,IL
3,128082.96510941251,127500.07509735829,104138.13554317759,155262.2324205985,IL
1,6572.120547379451,6455.9301442892465,4319.878951361527,9460.830171548609,IN
2,13285.68892641535,12962.285726513976,7074.108902117383,21314.23972847943,IN
3,60632.08924696448,60211.567380680965,47337.16703988763,76257.9388780284,IN
1,1962.8880866062484,1896.0154342520332,1161.0474453148947,3142.30155868502,KS
2,4239.734877921057,4034.9785309564563,1647.3375234940434,7952.47728826972,KS
3,24344.324905556732,24165.895793563515,18326.256566324362,31451.122432751912,KS
1,2761.6637803838717,2700.224152070663,1738.3295199961415,4130.5473247722175,KY
2,11983.583413833716,11467.791328375373,5375.303441498524,21367.958483436854,KY
3,45026.152568483885,44840.471438161425,33502.838878685296,57741.87746728351,KY
1,3333.492715610847,3114.9681644098387,1492.5198557640704,6439.06253553486,LA
2,5443.211161221878,5134.11020127395,1935.1132363511342,10749.297895383297,LA
3,41117.077077210895,40194.03843735444,26632.85555059399,61220.80701581738,LA
1,4267.98555832639,4095.6231278693667,2250.7651336023846,7264.200305116362,MA
2,19602.93186031067,19014.900479542972,10861.500213466692,31702.42142126791,MA
3,84899.18757521383,84252.88568886172,65906.53790525222,107541.06716572764,MA
1,4047.518006951009,3845.0820782085493,2025.6084803077977,7220.559664145694,MD
2,7959.119086368026,7500.579647796962,3670.4323846223347,14801.76864529969,MD
3,68394.42925872453,67819.71949707097,53064.17732484528,87135.74652797372,MD
1,424.59061530212807,401.5588981260463,213.94635807898413,767.2555229154354,ME
2,3191.8906467251245,2944.250171009396,928.128400149299,6809.951989827817,ME
3,20426.0433292235,20131.163213525375,13971.062983406013,28544.879901573124,ME
1,15989.20081565247,15730.722603279692,10669.729778933814,22834.930695948577,MI
2,17694.09707261576,17253.6447480653,9494.675587730713,28331.30445360873,MI
3,83822.49693514864,83363.23713292411,66874.73561964887,103309.8550331316,MI
