mean,median,2.5%,97.5%,state
7533.2046,7389.6855,5307.689440917969,10557.585620117185,AK
52896.58,52257.465,40998.62041015625,68282.6599609375,AL
33556.42,33074.04,24798.57548828125,45000.99111328124,AR
81670.87,80987.15,63566.96591796875,103611.4830078125,AZ
520233.75,516593.56,415657.83671875,644271.5921875,CA
79801.43,79369.234,66081.689453125,95914.78242187499,CO
0.0,0.0,0.0,0.0,CT
21959.217,21700.012,15928.719555664062,29429.443603515614,DC
24582.293,24373.164,19211.9298828125,31093.4708984375,DE
338418.53,336333.38,275849.3421875,413023.2593749999,FL
139907.17,139233.94,115632.359765625,167955.7203125,GA
22207.465,21780.695,15385.732153320312,31395.176562499993,HI
35891.08,35321.79,26302.53408203125,48532.90966796874,IA
17999.5,17660.066,12646.06630859375,25272.781787109372,ID
156703.17,156058.16,131058.4109375,186019.339453125,IL
80848.05,80346.2,66662.494921875,97821.022265625,IN
30691.65,30428.64,24433.33369140625,38422.390332031246,KS
60033.3,59674.266,49322.63935546875,72741.80859375,KY
50290.04,49130.35,33813.18369140625,72988.12187499998,LA
109195.805,108467.28,87174.045703125,135250.28398437498,MA
80586.85,79980.36,63454.62470703125,101252.22499999999,MD
24186.678,23827.586,17727.02099609375,32649.3546875,ME
118021.33,117416.89,98216.2412109375,141297.03945312498,MI
70764.1,70516.22,59687.0169921875,83269.36445312499,MN
78216.54,77908.2,65601.3748046875,92590.71484374999,MO
30383.43,30114.676,23739.75869140625,38509.955761718746,MS
12030.789,11871.97,8948.896313476562,15971.371337890623,MT
123155.01,121968.445,99040.64609375,154044.312109375,NC
9181.734,8970.824,6297.96240234375,13240.853784179682,ND
20782.121,20418.18,14950.35224609375,28586.13203125,NE
22047.824,21899.309,17533.7279296875,27432.811328124997,NH
113178.89,112381.94,89714.3306640625,141057.26054687498,NJ
29051.61,28470.002,20322.948876953124,41049.75556640623,NM
40223.58,39927.64,31250.177734375,50949.74335937499,NV
288539.22,286976.94,238248.35390625,346989.45625,NY
143973.17,143193.78,119588.8083984375,172847.37148437495,OH
48180.086,47990.6,40419.43466796875,57045.72080078125,OK
65927.945,65620.96,54793.87412109375,78844.51992187499,OR
160275.45,159255.02,132158.821484375,194079.01718749997,PA
14727.11,14636.685,11590.494580078124,18400.216015625,RI
56498.04,55350.18,39721.42880859375,79532.62246093748,SC
8444.789,8340.9795,6292.051110839844,11184.308325195312,SD
80992.94,80523.43,67086.0669921875,97562.13769531247,TN
324574.4,322882.7,268962.8515625,388781.26328124997,TX
32884.496,32579.627,25808.61748046875,41667.386425781246,UT
117989.6,117269.08,95523.209375,144515.48671875,VA
13303.069,13177.027,10097.378833007813,17219.00166015625,VT
113628.19,113071.84,94127.2951171875,136134.15625,WA
67157.79,66442.19,53365.49404296875,85069.6392578125,WI
21862.977,21560.426,16204.312890625,29205.016943359376,WV
7274.618,7176.073,5341.323706054688,9745.376586914062,WY
