mean,median,2.5%,97.5%,state
7480.449,7342.468,5286.232629394532,10470.951953125,AK
52615.33,51998.4,40814.9015625,67930.249609375,AL
33353.81,32890.824,24676.090869140626,44648.6109375,AR
81231.48,80528.266,63293.16494140625,103253.81972656249,AZ
517457.88,513867.5,413675.5578125,641689.0578124999,CA
79426.234,78982.97,65849.6419921875,95464.956640625,CO
21208.514,20894.174,15973.135205078126,28192.25576171875,CT
21842.854,21572.809,15840.140283203125,29345.22631835937,DC
24519.291,24327.523,19149.08134765625,31020.306542968745,DE
336699.44,334505.34,274922.284375,411454.58203124994,FL
139397.16,138696.81,115272.3748046875,167687.46679687497,GA
22058.375,21641.057,15301.379833984374,31194.42241210937,HI
35670.934,35144.492,26162.04951171875,48175.79970703125,IA
17868.016,17539.469,12570.932739257812,25010.909960937493,ID
156068.3,155391.4,130600.3703125,185277.63828125,IL
80489.89,79969.24,66470.0529296875,97462.71289062499,IN
30546.95,30296.121,24307.89306640625,38274.6552734375,KS
59771.4,59414.05,49143.2546875,72506.0369140625,KY
49893.78,48783.203,33676.3080078125,72477.925390625,LA
108770.11,108018.555,86807.4068359375,135076.95507812497,MA
80401.07,79717.516,63281.81845703125,101245.6255859375,MD
24042.527,23705.725,17642.57353515625,32369.61962890625,ME
117505.805,116887.17,97901.8423828125,140769.97304687498,MI
70482.945,70234.25,59516.45185546875,82982.85234375,MN
77917.664,77607.75,65420.59873046875,92289.36464843749,MO
30247.768,30003.262,23657.448388671874,38209.453222656244,MS
11968.219,11825.223,8906.078295898438,15846.016259765624,MT
122485.51,121329.16,98489.617578125,153033.03046874996,NC
9123.793,8913.695,6271.372204589844,13161.055810546875,ND
20643.88,20297.816,14861.110009765625,28337.0826171875,NE
21958.385,21796.578,17462.605859375,27336.230322265623,NH
112857.1,111978.625,89461.3345703125,141130.65703124998,NJ
28834.996,28263.477,20182.34833984375,40690.222851562496,NM
40015.055,39696.516,31134.01484375,50644.42294921875,NV
287129.34,285636.66,237200.66640625,345542.746875,NY
143274.45,142454.03,119194.439453125,172002.68632812498,OH
48020.04,47823.977,40279.6927734375,56854.07832031249,OK
65632.42,65311.46,54522.6103515625,78594.05312499999,OR
159497.62,158489.72,131606.639453125,193025.37187499998,PA
14670.638,14575.652,11575.906787109376,18347.667822265623,RI
56075.45,54980.54,39549.69306640625,78892.18281249999,SC
8397.5205,8301.536,6260.110119628906,11078.824755859374,SD
80605.04,80093.47,66792.5248046875,97055.0,TN
323017.0,321409.12,267905.646875,387286.03984374984,TX
32683.793,32389.566,25688.630224609376,41402.60859374998,UT
117656.805,116825.47,95224.175390625,144563.35664062496,VA
13251.337,13133.654,10058.151342773437,17128.392822265625,VT
113073.95,112526.95,93812.867578125,135655.48867187498,WA
66774.305,66083.69,53035.15732421875,84413.89140624998,WI
21730.266,21442.781,16117.833691406251,29017.99443359375,WV
7245.489,7155.968,5329.974499511719,9689.411645507807,WY
